Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1997
Cash & Equivalents,"7,416","9,323","8,664","4,829","6,488","7,038","6,175","6,231","6,001","4,551",Upgrade
Cash & Cash Equivalents,"7,416","9,323","8,664","4,829","6,488","7,038","6,175","6,231","6,001","4,551",Upgrade
Cash Growth,-20.45%,7.61%,79.42%,-25.57%,-7.81%,13.98%,-0.90%,3.83%,31.86%,-7.18%,Upgrade
Receivables,"3,264","3,789","3,535","3,179","2,657","2,699","2,115","2,237","2,120","2,247",Upgrade
"Property, Plant & Equipment","2,547","2,383","1,330",715,643,592,559,581,467,525,Upgrade
Goodwill and Intangibles,"33,643","33,804","32,814","32,931","31,365","30,609","30,481","30,495","30,305","30,481",Upgrade
Total Assets,"117,628","152,648","176,982","168,622","159,573","220,241","220,177","225,261","239,792","219,873",Upgrade
Accounts Payable,"1,294","1,397","1,028","1,167","1,292","1,161",880,"1,068","1,035","1,084",Upgrade
Total Liabilities,"78,843","113,755","139,326","133,693","126,033","187,977","190,833","196,217","212,272","193,203",Upgrade
Total Debt,"8,489","9,318","8,019","4,955","4,979","5,014","4,915","4,930","8,311","7,308",Upgrade
Debt Growth,-8.90%,16.20%,61.84%,-0.48%,-0.70%,2.01%,-0.30%,-40.68%,13.72%,-10.76%,Upgrade
Common Stock,"8,969","10,555","11,286","12,456","13,783","15,291","16,154","16,918","17,494","18,265",Upgrade
Retained Earnings,"29,876","27,688","24,334","21,662","19,282","16,939","13,660","12,033","10,145","8,230",Upgrade
Comprehensive Income,"-1,101",-550,-337,-571,-691,-432,-716,-448,-273,-35,Upgrade
Shareholders' Equity,"37,744","37,693","35,283","33,547","32,374","31,798","29,098","28,503","27,366","26,460",Upgrade
Total Liabilities and Equity,"116,587","151,448","174,609","167,240","158,407","219,775","219,931","224,720","239,638","219,663",Upgrade
Net Cash / Debt,"-1,073",5,645,-126,"1,509","2,024","1,260","1,301","-2,310","-2,757",Upgrade
Net Cash / Debt Growth,-,-99.22%,-,-,-25.44%,60.63%,-3.15%,-,-,-,Upgrade
Net Cash Per Share,-7.04,0.03,4.17,-0.80,9.32,12.31,7.56,7.70,-13.50,-15.86,Upgrade
Book Value Per Share,250.13,247.65,229.86,215.03,201.96,196.09,176.97,171.30,162.68,155.48,Upgrade
