Year,2022,2021,2020
Cash & Equivalents,0.55,1.48,2.69
Cash & Cash Equivalents,0.55,1.48,2.69
Cash Growth,-62.51%,-45.11%,-
Other Current Assets,0.2,0.2,0.31
Total Current Assets,0.76,1.68,3
Long-Term Investments,74.41,607.78,607.6
Total Long-Term Assets,74.41,607.78,607.6
Total Assets,75.17,609.46,610.6
Accounts Payable,0.41,0.37,0.84
Total Current Liabilities,0.41,0.37,0.84
Other Long-Term Liabilities,28.39,58.81,110.31
Total Long-Term Liabilities,28.39,58.81,110.31
Total Liabilities,28.79,59.17,111.15
Common Stock,0,0,0
Retained Earnings,-28.04,-57.5,-108.15
Shareholders' Equity,-28.03,-57.5,-108.15
Total Liabilities and Equity,0.76,1.68,3
Net Cash / Debt,0.55,1.48,2.69
Net Cash / Debt Growth,-62.51%,-45.11%,-
Net Cash Per Share,0.01,0.02,0.07
Working Capital,0.35,1.31,2.16
Book Value Per Share,-0.46,-0.76,-2.97
