Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2011
Cash & Equivalents,"2,826,758","3,271,829","3,256,251","3,909,582","2,419,198","2,121,067","2,774,672","2,789,327","2,140,261","2,175,887",Upgrade
Cash & Cash Equivalents,"2,826,758","3,271,829","3,256,251","3,909,582","2,419,198","2,121,067","2,774,672","2,789,327","2,140,261","2,175,887",Upgrade
Cash Growth,-13.60%,0.48%,-16.71%,61.61%,14.06%,-23.56%,-0.53%,30.33%,-1.64%,22.88%,Upgrade
"Property, Plant & Equipment","371,890","374,818","388,851","408,333","253,586","242,547","257,379","240,659","211,561","180,215",Upgrade
Goodwill and Intangibles,"107,789","95,411","82,537","73,389","66,923","63,219","58,085","51,137","40,983","66,703",Upgrade
Total Assets,"68,422,026","63,841,950","55,703,223","50,574,714","39,132,512","35,823,605","37,030,025","34,637,660","30,975,347","27,122,227",Upgrade
Total Liabilities,"63,458,079","59,414,377","51,998,449","47,096,211","35,887,052","32,675,685","34,091,826","31,835,105","28,300,279","24,749,771",Upgrade
Total Debt,"11,749,404","9,829,733","15,836,487","12,785,448","10,167,804","9,302,101","9,695,193","7,628,885","7,613,964","7,279,788",Upgrade
Debt Growth,19.53%,-37.93%,23.86%,25.74%,9.31%,-4.05%,27.09%,0.20%,4.59%,11.89%,Upgrade
Common Stock,"5,092,066","4,585,953","3,784,375","3,584,597","3,377,897","3,274,877","3,051,673","2,906,913","2,812,958","2,476,640",Upgrade
Retained Earnings,"-237,683","-252,740","-164,284","-185,727","-178,600","-168,840","-142,815","-134,539","-170,973","-132,688",Upgrade
Shareholders' Equity,"4,854,383","4,333,213","3,620,091","3,398,870","3,199,297","3,106,037","2,908,858","2,772,374","2,641,985","2,343,952",Upgrade
Total Liabilities and Equity,"68,312,462","63,747,590","55,618,540","50,495,081","39,086,349","35,781,722","37,000,684","34,607,479","30,942,264","27,093,723",Upgrade
Net Cash / Debt,"-8,922,646","-6,557,904","-12,580,236","-8,875,866","-7,748,606","-7,181,034","-6,920,521","-4,839,558","-5,473,703","-5,103,901",Upgrade
Book Value Per Share,10304.02,9197.78,7684.09,7214.52,6790.90,6592.94,6174.41,5884.70,5607.94,4975.32,Upgrade
