Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Cash & Equivalents,16.11,231.52,96.11,15.57,16.65,22.22,18.43,67.84,20.79,58.2,Upgrade
Cash & Cash Equivalents,16.11,231.52,96.11,15.57,16.65,22.22,18.43,67.84,20.79,58.2,Upgrade
Cash Growth,-93.04%,140.89%,517.43%,-6.52%,-25.06%,20.56%,-72.83%,226.31%,-64.28%,-9.58%,Upgrade
"Property, Plant & Equipment",10.29,10.34,2.54,2.78,3.08,3.28,2.48,2.93,4.78,4.81,Upgrade
Goodwill and Intangibles,28.36,28.93,0,0,0,0,0,0,0,0,Upgrade
Total Assets,"1,184.29","1,093.51",483.38,440.37,409.4,413.7,429.08,402.91,350.86,332.48,Upgrade
Total Liabilities,904.64,952.41,434.49,391.52,360.96,365.97,383.56,356.75,313.61,306.89,Upgrade
Total Debt,205.82,151.91,113.82,89.37,76.16,71.17,90.93,77.76,92.18,89.2,Upgrade
Debt Growth,35.48%,33.47%,27.36%,17.35%,7.00%,-21.73%,16.93%,-15.64%,3.34%,-2.21%,Upgrade
Common Stock,287.66,137.88,40.94,40.45,40.09,40,39.62,43.63,43.63,34.58,Upgrade
Retained Earnings,9.29,3.67,7.78,8.43,8.63,7.82,6.01,2.53,-6.54,-9.07,Upgrade
Comprehensive Income,-17.47,-0.55,0.16,-0.02,-0.28,-0.08,-0.1,-0,0.17,0.08,Upgrade
Shareholders' Equity,279.48,141,48.89,48.85,48.44,47.73,45.53,46.16,37.26,25.59,Upgrade
Total Liabilities and Equity,"1,184.12","1,093.41",483.38,440.37,409.4,413.7,429.08,402.91,350.86,332.48,Upgrade
Net Cash / Debt,-189.71,79.61,-17.71,-73.8,-59.5,-48.95,-72.5,-9.92,-71.39,-31,Upgrade
Book Value Per Share,3.66,1.97,1.74,1.75,1.77,1.74,1.57,1.59,1.28,4.16,Upgrade
