Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Cash & Equivalents,0.64,0.61,0.97,0.66,0.23,2.66,2.5,0.63,14.46,13.48,Upgrade
Cash & Cash Equivalents,0.64,0.61,0.97,0.66,0.23,2.66,2.5,0.63,14.46,13.48,Upgrade
Cash Growth,4.64%,-36.87%,46.91%,186.18%,-91.33%,6.29%,298.14%,-95.65%,7.23%,-60.42%,Upgrade
Receivables,0.91,0.69,0.64,0.42,0.41,0.47,0.6,0.51,0.39,1.04,Upgrade
Other Current Assets,0,0,0,0,-0.64,-3.13,-3.11,-1.14,-14.85,-14.52,Upgrade
Total Current Assets,1.55,1.31,1.61,1.08,0,0,0,0,0,0,Upgrade
"Property, Plant & Equipment",2.73,0.2,0.58,0.96,0,0,0.01,0.02,0.02,0.05,Upgrade
Long-Term Investments,"1,131.37","1,331.33","1,034.75",993.55,764.73,824.26,671.65,581.76,635.23,633.9,Upgrade
Other Long-Term Assets,0,0,0,0,-764.73,-824.26,-671.66,-581.78,-635.25,-633.95,Upgrade
Total Long-Term Assets,"1,134.1","1,331.53","1,035.34",994.51,0,0,0,0,0,0,Upgrade
Total Assets,"1,135.87","1,332.95","1,037.07",995.71,765.46,827.47,674.83,583.01,650.19,648.55,Upgrade
Accounts Payable,0,0,0,0,0,0.99,0,0,0.19,0,Upgrade
Other Current Liabilities,0,0,0,0,0,-0.99,0,0,-0.19,0,Upgrade
Long-Term Debt,2.9,0.2,0.58,0.96,0,0,0,0,0,0,Upgrade
Other Long-Term Liabilities,-2.9,0,-0.58,-0.96,0,0,0,0,0,0,Upgrade
Total Long-Term Liabilities,0,0.2,0,0,0,0,0,0,0,0,Upgrade
Total Liabilities,3.04,0.36,0,0,0.12,1.14,0.15,0.14,0.43,0.29,Upgrade
Total Debt,2.9,0.2,0.58,0.96,0,0,0,0,0,0,Upgrade
Debt Growth,1367.70%,-66.17%,-39.10%,-,-,-,-,-,-,-,Upgrade
Common Stock,28.01,27.27,26.24,25.89,25.57,25.14,24.88,24.85,24.84,24.21,Upgrade
Retained Earnings,672.78,897.7,642.09,611.93,0,0.6,0.38,0.7,0.12,0.39,Upgrade
Shareholders' Equity,"1,132.84","1,332.59","1,036.34",994.6,765.34,826.33,674.68,582.87,649.76,648.26,Upgrade
Total Liabilities and Equity,"1,135.87","1,332.95","1,037.07",995.71,765.46,827.47,674.83,583.01,650.19,648.55,Upgrade
Net Cash / Debt,-2.26,0.41,0.39,-0.3,0.23,2.66,2.5,0.63,14.46,13.48,Upgrade
Net Cash / Debt Growth,-,7.51%,-,-,-91.33%,6.29%,298.14%,-95.65%,7.23%,-60.42%,Upgrade
Net Cash Per Share,-0.09,0.02,0.02,-0.01,0.01,0.11,0.10,0.03,0.55,0.56,Upgrade
Working Capital,1.55,1.31,1.61,1.08,0,0,0,0,0,0,Upgrade
Book Value Per Share,44.45,50.77,40.77,39.03,30.59,33.21,27.55,23.60,24.80,26.94,Upgrade
