Year,2022,2021,2020,2019
Cash & Equivalents,36.65,61.94,60.36,6.1
Cash & Cash Equivalents,36.65,61.94,60.36,6.1
Cash Growth,-40.84%,2.61%,890.17%,-
"Property, Plant & Equipment",10.85,9.48,8.58,8.54
Total Assets,423.23,354.71,331.4,298.06
Total Liabilities,323.05,254.98,274.52,244.66
Total Debt,25,18.5,53.5,51.5
Debt Growth,35.14%,-65.42%,3.88%,-
Common Stock,47.18,46.19,6.65,6.39
Retained Earnings,56.56,53.27,49.68,46.96
Comprehensive Income,-3.56,0.28,0.54,0.04
Shareholders' Equity,100.18,99.73,56.88,53.4
Total Liabilities and Equity,423.23,354.71,331.4,298.06
Net Cash / Debt,11.65,43.44,6.86,-45.4
Net Cash / Debt Growth,-73.19%,533.11%,-,-
Book Value Per Share,13.53,13.47,17.45,-
