Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2001
Cash & Equivalents,63.2,80.55,98.48,93.18,84.43,76.6,57.19,57.47,35.78,33.11,Upgrade
Cash & Cash Equivalents,63.2,80.55,98.48,93.18,84.43,76.6,57.19,57.47,35.78,33.11,Upgrade
Cash Growth,-21.55%,-18.20%,5.69%,10.36%,10.22%,33.94%,-0.50%,60.65%,8.07%,320.62%,Upgrade
Receivables,17.33,20.44,17.81,17.22,20.29,19.22,18.61,18.58,16.51,13,Upgrade
"Property, Plant & Equipment",4.35,6.1,6.74,5.73,3.68,4.06,4.03,4.25,2.43,0.96,Upgrade
Total Assets,249.82,286.15,263.1,272.66,325.73,250.39,199.72,145.19,107.71,75.35,Upgrade
Accounts Payable,9.18,8.59,8,8.67,15.56,11.89,9.79,7.65,6.55,4.05,Upgrade
Total Liabilities,72.02,83.97,69.64,65.63,67.47,57.87,46.65,39.87,33.39,30.41,Upgrade
Common Stock,34.68,65.17,66.06,75.52,102.93,99.07,91.57,83.24,72.29,61.25,Upgrade
Retained Earnings,128.99,119.26,118.02,117.33,92.65,73.37,47.66,22.07,2.03,-16.3,Upgrade
Shareholders' Equity,163.67,184.42,184.08,192.86,195.58,172.44,139.22,105.31,74.32,44.94,Upgrade
Total Liabilities and Equity,235.7,268.4,253.73,258.49,263.05,230.31,185.88,145.19,107.71,75.35,Upgrade
Net Cash / Debt,63.2,80.55,98.48,93.18,84.43,76.6,57.19,57.47,35.78,33.11,Upgrade
Net Cash / Debt Growth,-21.55%,-18.20%,5.69%,10.36%,10.22%,33.94%,-0.50%,60.65%,8.07%,320.62%,Upgrade
Net Cash Per Share,20.34,25.33,30.64,27.11,24.02,22.19,16.75,17.11,10.95,10.36,Upgrade
Book Value Per Share,52.67,58.00,57.27,56.12,55.68,50.00,40.86,32.13,23.25,14.30,Upgrade
