Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2001
Cash & Equivalents,"1,580.16","2,823.52","1,062.95",434.02,644.47,487.38,690.76,669.45,813.08,746.02,Upgrade
Cash & Cash Equivalents,"1,580.16","2,823.52","1,062.95",434.02,644.47,487.38,690.76,669.45,813.08,746.02,Upgrade
Cash Growth,-44.04%,165.63%,144.91%,-32.66%,32.23%,-29.44%,3.18%,-17.67%,8.99%,2.69%,Upgrade
Receivables,"1,038.06","1,672.95","1,404.73","1,780.28","1,440.29","1,464.38","1,497.74","1,362.5",167.88,144.91,Upgrade
"Property, Plant & Equipment",287.39,316.77,317.35,324.7,237.37,177.58,190.36,200.62,206.99,200.71,Upgrade
Goodwill and Intangibles,278.76,282.73,287.81,294.11,329.44,288.24,296.5,306.68,311.59,322.73,Upgrade
Total Assets,"16,259.28","18,689.08","16,944.26","15,172.45","13,683.57","13,365.79","12,738.06","11,867","9,242.42","8,904.12",Upgrade
Accounts Payable,966.47,"1,477.3","1,368.37","1,605.52","1,294.93","1,287.56","1,347.13","1,338.31",179.04,129.68,Upgrade
Deferred Revenue,0,0,0,0,0,0,0,0,0,88.42,Upgrade
Total Liabilities,"14,195.75","16,139.88","14,593.62","13,043.65","11,709.68","11,450.98","10,863.54","10,128.88","7,781.18","7,592.2",Upgrade
Total Debt,"1,496.49","1,474.89","1,350.04","1,916.73","1,443.36","1,715.07","1,956.1","1,383.15",886.44,465.43,Upgrade
Debt Growth,1.46%,9.25%,-29.57%,32.80%,-15.84%,-12.32%,41.42%,56.03%,90.46%,-50.32%,Upgrade
Common Stock,"1,046.82","1,275.87","1,319.38","1,446.76","1,491.36","1,527.93","1,574.46","1,578.85","1,505.76","1,503.61",Upgrade
Retained Earnings,"1,123.64","1,257.01",986.79,644.86,466.74,384.55,295.57,155.48,-45.96,-157.61,Upgrade
Comprehensive Income,-133.53,-10.22,17.76,11.42,-8.63,-0.39,0.49,2.63,0.65,-34.86,Upgrade
Shareholders' Equity,"2,036.92","2,522.67","2,323.94","2,103.04","1,949.47","1,912.08","1,870.51","1,736.95","1,460.45","1,311.14",Upgrade
Total Liabilities and Equity,"16,232.68","18,662.55","16,917.56","15,146.69","13,659.15","13,363.06","12,734.05","11,865.83","9,241.63","8,903.34",Upgrade
Net Cash / Debt,83.67,"1,348.63",-287.09,"-1,482.71",-798.89,"-1,227.68","-1,265.34",-713.7,-73.37,280.6,Upgrade
Net Cash / Debt Growth,-93.80%,-,-,-,-,-,-,-,-,-,Upgrade
Net Cash Per Share,1.18,16.61,-3.21,-16.05,-8.40,-12.61,-12.83,-7.14,-0.81,3.11,Upgrade
Book Value Per Share,28.92,31.26,26.03,22.77,20.53,19.68,19.01,17.53,16.28,15.54,Upgrade
