Year,2022,2021,2020,2019,2017,2016,2015,2014,2013,2012,2011 - 1995
Cash & Equivalents,"10,660.41","11,770.24","9,659.47","8,475.62","5,853.49","4,664.9","4,389.73","7,721.45","7,524.2",145.96,Upgrade
Short-Term Investments,-,-,-,-,-,-,-,-,-,"1,672.6",Upgrade
Cash & Cash Equivalents,"10,660.41","11,770.24","9,659.47","8,475.62","5,853.49","4,664.9","4,389.73","7,721.45","7,524.2","1,818.56",Upgrade
Cash Growth,-9.43%,21.85%,13.97%,44.80%,25.48%,6.27%,-43.15%,2.62%,313.74%,470.75%,Upgrade
Receivables,"3,018.07","4,070.74","6,608.77","5,744.11","5,419.02","4,425.18","3,830.97","3,934.83","3,816.68",6.82,Upgrade
Other Current Assets,-,-,-,-,-,-,-,-,-,695.88,Upgrade
Total Current Assets,-,-,-,-,-,-,-,-,-,"2,521.27",Upgrade
"Property, Plant & Equipment",906.86,911.23,897.2,385.03,0,709.24,721.88,726.38,885.86,857.36,Upgrade
Long-Term Investments,-,-,-,-,-,-,-,-,-,"3,632.62",Upgrade
Goodwill and Intangibles,"1,736.11","1,745.1","1,913.47","1,922.93","2,463.18","2,513.68","2,648.36","2,720.76","2,768.63",854.03,Upgrade
Other Long-Term Assets,-,-,-,-,-,-,-,-,-,"1,483.85",Upgrade
Total Long-Term Assets,-,-,-,-,-,-,-,-,-,"6,827.85",Upgrade
Total Assets,"51,057.68","56,107.31","53,118.35","49,460.23","47,169.11","45,071.31","46,331.18","52,623.91","47,866.78","9,349.12",Upgrade
Accounts Payable,"6,207.58","8,413.57","10,388.07","8,179.01","7,167.67","7,373.71","7,107.08","10,516.49","8,309.95",589.43,Upgrade
Current Debt,-,-,-,-,-,-,-,-,-,832.27,Upgrade
Other Current Liabilities,-,-,-,-,-,-,-,-,-,-141.23,Upgrade
Total Current Liabilities,-,-,-,-,-,-,-,-,-,"1,280.48",Upgrade
Long-Term Debt,-,-,-,-,-,-,-,-,-,918.13,Upgrade
Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,141.23,Upgrade
Total Long-Term Liabilities,-,-,-,-,-,-,-,-,-,"1,059.36",Upgrade
Total Liabilities,"40,630.74","45,377.27","43,530.15","39,706.95","36,478.54","34,305.85","35,548.66","41,942.2","37,327.65","2,339.83",Upgrade
Total Debt,"30,382.85","32,096.32","31,323.81","29,993.29","18,011.99","15,724.39","18,586.85","19,917.21","19,207.42","1,750.4",Upgrade
Debt Growth,-5.34%,2.47%,4.44%,66.52%,14.55%,-15.40%,-6.68%,3.70%,997.32%,-24.59%,Upgrade
Common Stock,"2,193.91","2,985.79","3,160.97","3,919.36","5,032.27","5,172.01","5,349.44","5,427.01","5,245.57","1,822.11",Upgrade
Retained Earnings,"8,418.35","7,940.11","6,531.84","5,933.39","4,700.97","4,645.39","4,612.98","4,428.07","4,318.84","4,240.03",Upgrade
Comprehensive Income,-379.42,-372.14,-288.92,-273.04,372.72,310.7,438.79,447.08,538.05,705.13,Upgrade
Shareholders' Equity,"10,232.85","10,553.76","9,403.89","9,579.71","10,105.96","10,128.1","10,401.21","10,302.16","10,102.46","6,767.27",Upgrade
Total Liabilities and Equity,"50,863.59","55,931.03","52,934.04","49,286.65","46,584.49","44,433.95","45,949.87","52,244.36","47,430.12","9,107.1",Upgrade
Net Cash / Debt,"-19,722.44","-20,326.08","-21,664.35","-21,517.67","-12,158.5","-11,059.5","-14,197.12","-12,195.76","-11,683.22",68.16,Upgrade
Working Capital,-,-,-,-,-,-,-,-,-,"1,240.79",Upgrade
Book Value Per Share,44.69,42.98,36.81,31.95,28.37,28.13,28.71,27.96,27.71,27.67,Upgrade
