Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1999
Cash & Equivalents,53.81,119.49,112.42,35.11,107.93,39.89,32.5,23.75,25.64,26.19,Upgrade
Cash & Cash Equivalents,53.81,119.49,112.42,35.11,107.93,39.89,32.5,23.75,25.64,26.19,Upgrade
Cash Growth,-54.97%,6.30%,220.16%,-67.47%,170.60%,22.75%,36.82%,-7.37%,-2.12%,-42.24%,Upgrade
"Property, Plant & Equipment",21.96,17.27,18.33,17.87,13,11.85,11.2,9.77,9.98,9.83,Upgrade
Goodwill and Intangibles,39.44,16.47,16.8,17.13,17.47,17.82,4.6,4.64,4.68,4.72,Upgrade
Total Assets,"1,687.68","1,331.01","1,391.98","1,182.48","1,248.4","1,106.34",787.82,735.14,677.53,647.09,Upgrade
Total Liabilities,"1,489.99","1,185.67","1,248.17","1,044.7","1,120.11",986.47,710.86,672.84,613.66,593.62,Upgrade
Total Debt,77.06,12.9,17.04,17.83,99.2,103.77,77.8,45.76,25.43,22.42,Upgrade
Debt Growth,497.31%,-24.28%,-4.42%,-82.03%,-4.40%,33.39%,69.99%,79.95%,13.44%,14.92%,Upgrade
Common Stock,125.68,57.9,69.95,70.87,72.41,71.34,34.43,22.67,28.8,28.25,Upgrade
Retained Earnings,94.15,83.97,69.58,65.06,56.04,47.43,41.33,37.24,32.52,27.47,Upgrade
Comprehensive Income,-22.14,3.46,4.28,1.84,-0.15,1.09,1.2,2.4,2.55,-2.24,Upgrade
Shareholders' Equity,197.69,145.34,143.81,137.78,128.29,119.86,76.96,62.3,63.87,53.47,Upgrade
Total Liabilities and Equity,"1,687.68","1,331.01","1,391.98","1,182.48","1,248.4","1,106.34",787.82,735.14,677.53,647.09,Upgrade
Net Cash / Debt,-23.25,106.59,95.38,17.29,8.73,-63.89,-45.3,-22.01,0.21,3.78,Upgrade
Net Cash / Debt Growth,-,11.76%,451.71%,97.98%,-,-,-,-,-94.52%,-85.39%,Upgrade
Book Value Per Share,34.27,24.35,22.54,21.45,19.81,18.64,17.10,16.63,15.59,13.19,Upgrade
