Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Cash & Equivalents,45.99,152.03,138.3,52.36,71.18,74.57,40.17,45.53,30.98,28.34,Upgrade
Cash & Cash Equivalents,45.99,152.03,138.3,52.36,71.18,74.57,40.17,45.53,30.98,28.34,Upgrade
Cash Growth,-69.75%,9.93%,164.16%,-26.45%,-4.55%,85.66%,-11.78%,46.98%,9.29%,-37.91%,Upgrade
"Property, Plant & Equipment",22.32,22.36,22.83,20.92,14.86,13.28,12.78,10.4,9.2,9.01,Upgrade
Goodwill and Intangibles,7.35,7.38,7.43,7.49,7.75,7.89,8.47,1.27,1.27,1.27,Upgrade
Total Assets,"1,210.79","1,249.77","1,186.93","1,013.27","1,030.49","1,026.29",954.64,796.29,778.67,747.37,Upgrade
Total Liabilities,"1,075.76","1,108.41","1,050.61",885.09,912.62,916.93,850.11,705.82,692.45,666.95,Upgrade
Total Debt,27.74,29.31,37.24,43.54,48.21,44.45,45.59,32.45,33.47,27.25,Upgrade
Debt Growth,-5.36%,-21.30%,-14.47%,-9.68%,8.47%,-2.49%,40.49%,-3.07%,22.84%,-1.93%,Upgrade
Common Stock,40.52,39.95,40.9,40.9,39.17,37.55,36.4,24.38,24.38,23.93,Upgrade
Retained Earnings,109.32,100.7,92.99,86.75,80.84,72.69,69.12,65.78,60.87,56.24,Upgrade
Comprehensive Income,-14.81,0.71,2.44,0.53,-2.14,-0.88,-0.99,0.31,0.96,0.25,Upgrade
Shareholders' Equity,135.03,141.36,136.32,128.18,117.87,109.36,104.53,90.47,86.22,80.42,Upgrade
Total Liabilities and Equity,"1,210.79","1,249.77","1,186.93","1,013.27","1,030.49","1,026.29",954.64,796.29,778.67,747.37,Upgrade
Net Cash / Debt,18.25,122.73,101.06,8.81,22.97,30.12,-5.42,13.08,-2.5,1.1,Upgrade
Net Cash / Debt Growth,-85.13%,21.44%,1046.85%,-61.63%,-23.76%,-,-,-,-,-93.87%,Upgrade
Book Value Per Share,28.30,29.63,28.48,26.83,24.90,23.31,22.40,21.97,21.04,19.80,Upgrade
