Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Cash & Equivalents,29.95,152.15,146.51,27.06,48.36,26.62,17.01,20.46,28.2,13.14,Upgrade
Cash & Cash Equivalents,29.95,152.15,146.51,27.06,48.36,26.62,17.01,20.46,28.2,13.14,Upgrade
Cash Growth,-80.32%,3.85%,441.36%,-44.04%,81.71%,56.45%,-16.85%,-27.44%,114.64%,-31.38%,Upgrade
"Property, Plant & Equipment",22.83,23.21,23.56,23.39,22.08,21.28,19.13,19.01,13.6,12.19,Upgrade
Goodwill and Intangibles,23.24,23.19,22.09,17.79,16.4,16.41,16.42,16.44,16.64,17.43,Upgrade
Total Assets,"1,335.63","1,330.85","1,257.84","1,038.58",986.83,876.63,816.01,733.07,684.23,631.75,Upgrade
Total Liabilities,"1,217.21","1,185.93","1,114.92",902.48,856.39,782.63,729.46,651.83,608.55,575.49,Upgrade
Total Debt,104.83,50.68,38.5,39.26,41.49,43.89,47.34,57.72,53.05,51.91,Upgrade
Debt Growth,106.86%,31.63%,-1.93%,-5.40%,-5.46%,-7.29%,-17.97%,8.80%,2.21%,-3.26%,Upgrade
Common Stock,48.58,47.06,56.14,62.73,66.98,38.7,39.81,40.53,40.39,26.3,Upgrade
Retained Earnings,101.97,99.72,84.58,72.7,64.01,55.44,46.69,40.06,34.38,29.9,Upgrade
Comprehensive Income,-32.12,-1.85,2.21,0.66,-0.55,-0.14,0.05,0.65,0.92,0.07,Upgrade
Shareholders' Equity,118.43,144.93,142.92,136.09,130.44,94,86.55,81.24,75.68,56.27,Upgrade
Total Liabilities and Equity,"1,335.63","1,330.85","1,257.84","1,038.58",986.83,876.63,816.01,733.07,684.23,631.75,Upgrade
Net Cash / Debt,-74.88,101.48,108.01,-12.19,6.87,-17.28,-30.33,-37.26,-24.85,-38.77,Upgrade
Net Cash / Debt Growth,-,-6.05%,-,-,-,-,-,-,-,-,Upgrade
Book Value Per Share,16.91,19.84,18.04,20.25,19.10,18.70,16.99,15.73,14.79,11.01,Upgrade
