Year,2022,2021,2020,2019
Cash & Equivalents,10.98,36.87,22.09,24.59
Cash & Cash Equivalents,10.98,36.87,22.09,24.59
Cash Growth,-70.21%,66.92%,-10.17%,-
"Property, Plant & Equipment",6.3,6.22,6.38,6.08
Goodwill and Intangibles,0.4,0.53,0.66,0.79
Total Assets,417.35,364.83,299.64,267.56
Total Liabilities,361.48,304.69,267.7,236.51
Total Debt,62.49,27.57,30.77,31.14
Debt Growth,126.67%,-10.39%,-1.20%,-
Common Stock,28.79,28.49,0,0
Retained Earnings,34.08,32.33,31.81,31.06
Comprehensive Income,-7,-0.69,0.13,-0.01
Shareholders' Equity,55.87,60.13,31.94,31.05
Total Liabilities and Equity,417.35,364.83,299.64,267.56
Net Cash / Debt,-51.51,9.3,-8.68,-6.55
Net Cash Per Share,-17.01,3.10,-,-
Book Value Per Share,18.45,20.03,9.80,-
