Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2004
Cash & Equivalents,"1,285.9","1,208.3","1,428.2","1,450.5",973.4,838.2,877.5,"1,315.9","1,783.2","2,073.1",Upgrade
Cash & Cash Equivalents,"1,285.9","1,208.3","1,428.2","1,450.5",973.4,838.2,877.5,"1,315.9","1,783.2","2,073.1",Upgrade
Cash Growth,6.42%,-15.40%,-1.54%,49.01%,16.13%,-4.48%,-33.32%,-26.21%,-13.98%,16.70%,Upgrade
Receivables,"3,486.8","2,843.5","3,821.4","3,296.7","3,813.8","4,188.9","3,749.1","3,308.7","3,313.7","3,270.4",Upgrade
"Property, Plant & Equipment",109.6,129.4,150.4,186.9,270.4,214.2,220.5,231.8,206.4,209.9,Upgrade
Goodwill and Intangibles,"2,492.5","2,451.7","3,071.6","3,061.5","3,323.2","3,314.2","3,826.2","3,868.8","3,917.3","4,005.8",Upgrade
Total Assets,"8,496.3","8,823.5","9,496.3","8,758.5","8,996.8","9,231.4","9,419.6","9,449.2","9,890.4","10,121.3",Upgrade
Accounts Payable,"3,950.8","3,293.7","4,322.3","3,898.6","4,378.7","4,907.4","4,878.7","3,915.3","3,914.1","3,909.3",Upgrade
Total Liabilities,"8,018.5","8,467.9","9,309.7","8,798","9,306.6","9,722.8","8,517.4","8,044.3","8,590","9,016.6",Upgrade
Total Debt,"2,616.8","3,008.4","3,067.2","3,229.3","3,433.7","3,033.6","2,786.1","3,215.9","3,720.4","4,213",Upgrade
Debt Growth,-13.02%,-1.92%,-5.02%,-5.95%,13.19%,8.88%,-13.36%,-13.56%,-11.69%,4.56%,Upgrade
Common Stock,999.6,944.9,889.2,845.4,760,702.4,645.7,571.5,450.6,396.4,Upgrade
Retained Earnings,-353.9,-537.2,-543.1,-675.9,-838.8,-965.9,419.3,977.3,968.7,877.3,Upgrade
Comprehensive Income,-167.9,-52.1,-159.5,-209,-231,-227.9,-162.8,-143.9,-118.9,-169,Upgrade
Shareholders' Equity,477.8,355.6,186.6,-39.5,-309.8,-491.4,902.2,"1,404.9","1,300.4","1,104.7",Upgrade
Total Liabilities and Equity,"8,496.3","8,823.5","9,496.3","8,758.5","8,996.8","9,231.4","9,419.6","9,449.2","9,890.4","10,121.3",Upgrade
Net Cash / Debt,"-1,330.9","-1,800.1","-1,639","-1,778.8","-2,460.3","-2,195.4","-1,908.6","-1,900","-1,937.2","-2,139.9",Upgrade
Net Cash Per Share,-3.43,-4.40,-3.95,-4.13,-5.41,-4.69,-3.87,-3.68,-3.61,-3.82,Upgrade
Book Value Per Share,1.23,0.87,0.45,-0.09,-0.69,-1.05,1.84,2.74,2.44,1.99,Upgrade
