Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,+68 Quarters
Cash & Equivalents,21.88,15.91,15.61,24.75,14.33,9.53,20.45,19.32,8.94,16.35,8.34,12.89,36.01,11.45,8.61,12.63,10.04,7.49,8.44,24.55,9.47,12.64,10.68,13.25,11.86,13.97,10.78,15.62,14.64,32.93,19.7,16.38,16.49,27.76,27.18,33.1,37.25,47.1,18.78,18.95,Upgrade
Cash & Cash Equivalents,21.88,15.91,15.61,24.75,14.33,9.53,20.45,19.32,8.94,16.35,8.34,12.89,36.01,11.45,8.61,12.63,10.04,7.49,8.44,24.55,9.47,12.64,10.68,13.25,11.86,13.97,10.78,15.62,14.64,32.93,19.7,16.38,16.49,27.76,27.18,33.1,37.25,47.1,18.78,18.95,Upgrade
Cash Growth,52.69%,66.91%,-23.64%,28.13%,60.26%,-41.71%,145.21%,49.84%,-75.18%,42.83%,-3.20%,2.08%,258.77%,52.93%,2.09%,-48.55%,5.96%,-40.79%,-20.98%,85.23%,-20.15%,-9.48%,-0.98%,-15.17%,-18.95%,-57.58%,-45.24%,-4.60%,-11.26%,18.62%,-27.53%,-50.53%,-55.72%,-41.06%,44.74%,74.67%,94.66%,115.47%,4.10%,-10.97%,Upgrade
Receivables,47.16,55.1,38.59,42.38,52.37,58.65,39.36,56.6,50,51.35,43.85,45.27,48.48,54.14,40.59,41.33,38.99,43.04,28.78,30.85,32.44,40.3,19.48,24.28,23.81,31.64,17.45,23.75,28.65,31.95,20.39,25.08,29.63,32.6,21.37,23.66,33.76,40.37,23.53,25.1,Upgrade
Goodwill and Intangibles,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.54,2.13,2.13,2.13,2.13,Upgrade
Total Assets,360.35,379.27,375.03,402.29,404.08,404.49,383.13,405.19,384.95,385.74,347.86,377.63,383.34,371.73,354.24,344.27,339.55,341.66,325.81,343.24,334.31,332.74,312.91,318.6,321.5,320.27,300.13,314.6,317.2,327.23,313.19,317.01,316.93,336.8,311.94,319.38,317.7,320.91,313.55,320.18,Upgrade
Accounts Payable,23.41,23.56,23.3,25.47,24.59,22.5,24.17,26.41,22.14,23.39,19.76,23.59,0,0,0,20.12,15.88,14.83,17.4,22.34,14.88,14.56,12.9,16.68,14.68,13.22,13.26,15.03,14.89,18.03,12.81,13.59,15.05,14.14,10.85,14.84,12.22,11.56,11.03,11.48,Upgrade
Total Liabilities,262.44,270.17,248.61,261,264.08,262.11,249.89,260.13,256.94,261.84,246.34,259.23,266.92,258.96,242.76,242.9,237.43,239.99,224.09,230.26,224.79,225.21,205.93,213.09,212.55,212.22,196.31,212.11,213.99,221.68,205.73,212.81,214.74,230.17,210.08,218.45,220.67,222.17,209.52,214.44,Upgrade
Total Debt,34.74,34.74,33.74,33.74,33.74,33.74,33.74,33.74,33.74,33.74,33.74,33.74,33.74,33.74,33.74,33.74,33.74,33.74,33.74,33.74,33.74,33.74,33.74,33.74,33.74,33.74,33.74,33.74,33.74,33.74,33.74,33.74,33.74,41.24,41.24,41.24,41.24,41.24,41.24,41.24,Upgrade
Debt Growth,2.96%,2.96%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-18.19%,-18.19%,-18.19%,-18.19%,-,-,-,-,-,-,-,Upgrade
Common Stock,72.32,72.38,72.36,72.33,72.31,72.38,72.34,72.27,72.2,72.16,72.02,71.92,71.77,71.7,71.7,71.7,71.77,71.82,72.15,72.24,72.24,72.41,72.42,72.4,72.4,72.4,72.43,72.47,72.98,73.02,73.03,73.05,74.1,74.72,75.77,75.99,76.44,76.69,77.27,77.54,Upgrade
Retained Earnings,51.04,51.82,53.6,51.26,48.7,49.71,46.85,47.79,36.04,34.27,27.83,36.02,34.85,36.34,40.87,37.21,37.11,36.27,33.19,30.99,28.55,27.9,26.54,27.27,26.02,25.98,25.83,25.44,25.43,25.29,22.05,21.87,21.11,19.78,19.02,18.74,17.4,14.83,8.99,8.62,Upgrade
Comprehensive Income,-25.44,-15.1,0.46,17.69,18.99,20.28,14.04,25,19.77,17.46,1.67,10.46,9.79,4.73,-1.08,-7.54,-6.76,-6.43,-3.62,9.75,8.73,7.22,8.01,5.83,10.53,9.67,5.56,4.58,4.81,7.24,12.38,9.28,6.98,12.14,7.07,6.2,3.19,7.22,17.76,19.57,Upgrade
