Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Cash & Equivalents,0.39,0.19,0.3,0.33,0
Cash & Cash Equivalents,0.39,0.19,0.3,0.33,0
Other Current Assets,0.38,0.49,0.61,0.74,0
Total Current Assets,0.77,0.68,0.9,1.07,0
Long-Term Investments,309.79,307.55,306.07,305.83,0
Other Long-Term Assets,0,0,0,0,0.36
Total Long-Term Assets,309.79,307.55,306.07,305.83,0.36
Total Assets,310.56,308.23,306.98,306.9,0.36
Current Debt,0,0,0,0,0.1
Other Current Liabilities,2.14,1.26,0.67,0.39,0.24
Total Current Liabilities,2.14,1.26,0.67,0.39,0.34
Other Long-Term Liabilities,10.5,10.5,10.5,10.5,0
Total Long-Term Liabilities,10.5,10.5,10.5,10.5,0
Total Liabilities,12.64,11.76,11.17,10.89,0.34
Total Debt,0,0,0,0,0.1
Common Stock,0,0,0,0,0.03
Retained Earnings,-11.18,-10.64,-10.19,-9.99,-0
Shareholders' Equity,-11.18,-10.64,-10.19,-9.99,0.02
Total Liabilities and Equity,1.46,1.12,0.98,0.9,0.36
Net Cash / Debt,0.39,0.19,0.3,0.33,-0.1
Net Cash Per Share,0.01,0.01,0.01,0.01,-0.05
Working Capital,-1.37,-0.59,0.23,0.68,-0.34
Book Value Per Share,-0.30,-0.28,-0.27,-0.32,0.01
