Metrics,2023-03-31,2022-12-31,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31
Cash & Equivalents,48.64,51.29,50.33,-,73.08,0.36,0.5,0.57,61.77,0.3,0.33,0.86,0.93,0.95,1.02,0.44,0
Short-Term Investments,0.52,0.52,0.51,-,0.12,0,0,0,6.24,0,0,0,0,0,0,0,0
Cash & Cash Equivalents,49.15,51.81,50.84,0,73.21,0.36,0.5,0.57,68.01,0.3,0.33,0.86,0.93,0.95,1.02,0.44,0
Cash Growth,-32.86%,14450.74%,9986.01%,-,7.64%,17.19%,51.20%,-33.47%,7217.93%,-67.99%,-67.23%,95.82%,-,-,-,-,-
Receivables,4.15,3.09,1.11,-,3.01,0,0,0,2.88,0,0,0,0,0,0,0,0
Other Current Assets,0.94,0.85,0.78,-,7.57,0,0,0.01,0.27,0.06,0.08,0.01,0.03,0.05,0.07,0.15,0.07
Total Current Assets,54.25,55.76,52.73,-,83.78,0.36,0.5,0.58,71.16,0.36,0.41,0.86,0.96,0.99,1.08,0.59,0.07
"Property, Plant & Equipment",7.22,7.36,7.42,-,1.65,0,0,0,1.7,0,0,0,0,0,0,0,0
Long-Term Investments,35.61,38.11,34.79,-,37.08,43.36,42.76,42.16,104.08,47.78,47.31,46.84,46.6,46.42,46.16,0,0
Other Long-Term Assets,0.59,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Long-Term Assets,43.42,45.47,42.21,-,38.73,43.36,42.76,42.16,105.79,47.78,47.31,46.84,46.6,46.42,46.16,0,0
Total Assets,97.67,101.22,94.94,-,122.51,43.71,43.26,42.74,176.94,48.14,47.72,47.7,47.56,47.42,47.24,0.59,0.07
Accounts Payable,17.5,20.27,3.72,-,3.85,0.9,0.86,0.82,3.45,0.26,0.22,0.59,0.54,0.51,0.44,0.58,0.07
Current Debt,6.25,4.48,0,-,0,3.16,2.57,1.97,0.07,0.92,0,0,0,0,0,0,0
Other Current Liabilities,71.01,72.27,59.19,-,57.51,0.01,0.03,0.01,53.28,0,0,0.01,0.01,0.01,0.03,0,0
Total Current Liabilities,94.76,97.02,62.91,-,61.36,4.08,3.45,2.81,56.8,1.18,0.23,0.6,0.55,0.52,0.47,0.58,0.08
Long-Term Debt,0,0,0,-,0,0,0,0,125.51,0,0.46,0,0,0,0,0,0
Other Long-Term Liabilities,0.05,0.05,0.04,-,0,2.32,1.48,1.43,0,1.03,1.03,1.03,2.36,1.03,1.03,0,0
Total Long-Term Liabilities,0.05,0.05,0.04,-,0,2.32,1.48,1.43,125.51,1.03,1.49,1.03,2.36,1.03,1.03,0,0
Total Liabilities,94.81,97.07,62.95,-,61.36,6.4,4.93,4.23,182.3,2.21,1.71,1.62,2.91,1.54,1.49,0.58,0.08
Total Debt,6.25,4.48,0,-,0,3.16,2.57,1.97,125.58,0.92,0.46,0,0,0,0,0,0
Debt Growth,-,41.53%,-,-,-,243.85%,458.46%,-,-,-,-,-,-,-,-,-,-
Common Stock,54.84,43.93,38.76,-,9.2,0,5.15,4.97,38.76,4.78,4.71,4.64,0,4.84,4.97,0.03,0
Retained Earnings,-51.47,-39.4,-6.21,-,52.13,-2.32,-0.15,0.03,-44.34,0.21,0.29,0.03,-1.46,-0.26,-0.13,-0.01,-0
Comprehensive Income,-0.52,-0.38,-0.56,-,-0.18,0,0,0,0.21,0.01,0,0.33,0.1,0.42,0.16,0,0
Shareholders' Equity,2.85,4.15,31.99,-,61.15,-2.32,5,5,-5.36,5,5,5,-1.36,5,5,0.01,-0
Total Liabilities and Equity,97.67,101.22,94.94,-,122.51,4.08,9.93,9.23,176.94,7.21,6.71,6.62,1.56,6.54,6.49,0.59,0.07
Net Cash / Debt,42.9,47.33,50.84,0,73.21,-2.81,-2.06,-1.4,-57.57,-0.62,-0.13,0.86,0.93,0.95,1.02,0.44,0
Net Cash / Debt Growth,-41.40%,-,-,-,-,-,-,-,-,-,-,95.82%,-,-,-,-,-
Net Cash Per Share,0.71,-,-,-,1.32,-0.53,-0.94,-0.66,-9.64,-0.10,-0.06,0.43,0.23,0.50,0.70,0.90,-
Working Capital,-40.52,-41.26,-10.18,-,22.41,-3.72,-2.95,-2.23,14.36,-0.82,0.19,0.27,0.4,0.48,0.61,0.01,-0
Book Value Per Share,0.05,0.07,6.37,-,1.10,-0.43,2.29,2.35,-0.90,0.84,2.52,2.52,-0.34,2.61,3.45,0.03,-2.52
