Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Cash & Equivalents,0.19,0.26,0.39,0.59,0.07
Cash & Cash Equivalents,0.19,0.26,0.39,0.59,0.07
Cash Growth,192.33%,-,-,-,-
Other Current Assets,0.28,0.43,0.5,0.5,0
Total Current Assets,0.48,0.69,0.89,1.1,0.07
Long-Term Investments,206.88,205.18,204.27,204.02,0
Other Long-Term Assets,0,0,0.06,0.17,0.31
Total Long-Term Assets,206.88,205.18,204.34,204.19,0.31
Total Assets,207.36,205.87,205.23,205.28,0.37
Accounts Payable,0.39,0.09,0.14,0.21,0.01
Current Debt,0,0,0,0,0.24
Other Current Liabilities,0.05,0.06,0.06,0.1,0.1
Total Current Liabilities,0.44,0.16,0.2,0.32,0.36
Other Long-Term Liabilities,7.66,7.6,8.07,9.21,0
Total Long-Term Liabilities,7.66,7.6,8.07,9.21,0
Total Liabilities,8.1,7.76,8.28,9.53,0.36
Total Debt,0,0,0,0,0.24
Common Stock,0,0,0,0,0.03
Retained Earnings,-7.62,-7.07,-7.32,-8.27,-0.01
Shareholders' Equity,-7.62,-7.07,-7.32,-8.27,0.02
Total Liabilities and Equity,0.48,0.69,0.96,1.26,0.37
Net Cash / Debt,0.19,0.26,0.39,0.59,-0.18
Net Cash Per Share,0.01,0.01,0.02,0.04,-
Working Capital,0.04,0.53,0.69,0.78,-0.29
Book Value Per Share,-0.30,-0.28,-0.29,-0.50,0.00
