Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Cash & Equivalents,0.23,0.89,177.44,0
Cash & Cash Equivalents,0.23,0.89,177.44,0
Other Current Assets,0.31,0.32,-175.7,0.62
Total Current Assets,0.54,1.21,1.74,0.62
Long-Term Investments,177,176.16,0,0
Other Long-Term Assets,0.12,0.19,176.29,0
Total Long-Term Assets,177.12,176.36,176.29,0
Total Assets,177.66,177.57,178.03,0.62
Current Debt,0.13,0.33,0.23,0.05
Other Current Liabilities,1.04,0.87,0.84,0.56
Total Current Liabilities,1.18,1.2,1.07,0.61
Other Long-Term Liabilities,177,176.16,175.95,0
Total Long-Term Liabilities,177,176.16,175.95,0
Total Liabilities,178.18,177.36,177.02,0.61
Total Debt,0.13,0.33,0.23,0.05
Common Stock,1.02,1.86,2.07,0.03
Retained Earnings,-1.53,-1.65,-1.06,-0.01
Shareholders' Equity,-0.51,0.21,1.01,0.02
Total Liabilities and Equity,177.66,177.57,178.03,0.62
Net Cash / Debt,0.1,0.56,177.21,-0.05
Net Cash Per Share,0.00,0.03,14.62,-
Working Capital,-0.63,0.01,0.67,0.02
Book Value Per Share,-0.02,0.01,0.08,0.01
