Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.09,0.26,0.04,0.04,0.09,0.13,0.19,0.24,0.03
Cash & Cash Equivalents,0.09,0.26,0.04,0.04,0.09,0.13,0.19,0.24,0.03
Cash Growth,-3.22%,102.95%,-77.10%,-83.54%,171.25%,-,-,-,-
Other Current Assets,0.04,0.13,0.23,0.32,0.41,0.5,0.59,0.68,0.18
Total Current Assets,0.13,0.38,0.27,0.36,0.5,0.63,0.77,0.92,0.21
Long-Term Investments,30.29,200.85,200.29,200.02,200.01,200.01,200,200,0
Total Long-Term Assets,30.29,200.85,200.29,200.02,200.01,200.01,200,200,0
Total Assets,30.42,201.23,200.56,200.39,200.51,200.63,200.78,200.92,0.21
Accounts Payable,0.49,0.35,0.3,0.14,0.38,0.2,0.17,0.14,0
Current Debt,0.33,0.38,0.46,0.3,0,0,0,0,0.07
Other Current Liabilities,0.43,0.2,0.11,0.22,0.13,0,0.2,0.26,0.12
Total Current Liabilities,1.25,0.93,0.87,0.66,0.51,0.2,0.37,0.41,0.19
Other Long-Term Liabilities,0.07,0.02,0.02,0.1,0.15,200.16,195.41,195.52,0.22
Total Long-Term Liabilities,0.07,0.02,0.02,0.1,0.15,200.16,195.41,195.52,0.22
Total Liabilities,1.31,0.95,0.9,0.76,0.65,200.36,195.78,195.92,0.41
Total Debt,0.33,0.38,0.46,0.3,0,0,0,0,0.07
Common Stock,3.66,4.62,5.27,5.27,5.27,5.27,5.25,5.14,0.03
Retained Earnings,-4.42,-4.98,-5.61,-5.64,-5.41,-5,-0.25,-0.14,-0
Shareholders' Equity,-0.76,-0.36,-0.34,-0.37,-0.14,0.27,5,5,0.02
Total Liabilities and Equity,0.55,0.58,0.56,0.39,0.51,200.63,200.78,200.92,0.43
Net Cash / Debt,-0.25,-0.12,-0.42,-0.26,0.09,0.13,0.19,0.24,-0.03
Net Cash Per Share,-0.01,-0.00,-0.02,-0.01,0.00,0.00,0.01,0.02,-0.01
Working Capital,-1.12,-0.54,-0.6,-0.3,-0.01,0.42,0.41,0.52,0.02
Book Value Per Share,-0.03,-0.01,-0.01,-0.01,-0.01,0.01,0.20,0.35,0.01
