Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+14 Quarters
Cash & Equivalents,904,572.65,726.14,513.77,697.49,314.86,507.02,895.35,"1,049.8",397.72,369.78,402.23,766.7,214.67,230.23,442.83,241.45,382.07,279.8,379.26,199.75,194.58,292.6,228.36,239.42,448.31,261.95,359.67,245.81,267.5,276.28,164.86,304.49,187.52,348.14,379.15,263.16,252.75,525.68,213.55,Upgrade
Cash & Cash Equivalents,904,572.65,726.14,513.77,697.49,314.86,507.02,895.35,"1,049.8",397.72,369.78,402.23,766.7,214.67,230.23,442.83,241.45,382.07,279.8,379.26,199.75,194.58,292.6,228.36,239.42,448.31,261.95,359.67,245.81,267.5,276.28,164.86,304.49,187.52,348.14,379.15,263.16,252.75,525.68,213.55,Upgrade
Cash Growth,29.61%,81.88%,43.22%,-42.62%,-33.56%,-20.83%,37.12%,122.60%,36.92%,85.27%,60.61%,-9.17%,217.54%,-43.81%,-17.72%,16.76%,20.88%,96.36%,-4.38%,66.08%,-16.57%,-56.60%,11.70%,-36.51%,-2.60%,67.59%,-5.19%,118.17%,-19.27%,42.65%,-20.64%,-56.52%,15.70%,-25.81%,-33.77%,77.54%,-42.94%,-48.98%,51.65%,30.10%,Upgrade
"Property, Plant & Equipment",526.31,539.8,579.69,605.77,627.15,640.73,659.94,667.94,681,663.52,676.32,689.97,684.56,698.15,696.9,707.68,710.21,702.35,661.68,591.27,591.34,599.5,588.21,573.08,559.23,539.91,515.91,478.94,479.49,483.52,401.75,418.25,366.03,314.56,242.45,199.57,208.56,196.48,0,0,Upgrade
Goodwill and Intangibles,77.64,77.64,77.64,77.64,77.64,77.64,77.64,77.64,77.64,77.64,77.64,77.65,77.66,77.67,77.69,77.7,77.71,77.72,77.73,77.74,77.75,77.8,77.86,77.92,77.98,78.05,78.12,78.19,78.26,78.33,78.41,78.51,68.26,68.41,68.58,68.74,68.9,69.07,69.24,69.41,Upgrade
Total Assets,"37,189.2","37,026.71","36,594.89","36,551.4","36,331.62","35,815.4","35,306.27","35,700.29","35,179.24","35,010.49","35,028.6","34,745.9","33,595.67","32,871.29","32,950.54","33,092.27","32,702.98","32,164.33","31,513.64","31,349.57","30,432.54","30,346.99","29,554.83","28,993.74","27,988.73","27,880.15","27,265.01","26,309.19","24,819.49","23,883.47","22,537.67","21,401.79","19,983.4","19,210.53","17,680.74","17,008.32","15,751.65","15,046.65","14,308.01","13,233.43",Upgrade
Total Liabilities,"34,707.81","34,590.73","34,113.91","34,045.39","33,470.39","32,777.64","32,209.6","32,538.74","32,117.4","32,027.48","32,163.77","31,990.85","31,079.54","29,890.51","30,041.26","30,224.36","29,779.59","29,240.49","28,438.75","28,250.14","27,399.86","27,320.92","26,931.34","26,412.92","25,455.72","25,461.72","24,891.92","23,978.05","22,555.24","21,639.57","20,327.1","19,255.46","17,867.78","17,158","15,640.57","14,993.75","13,771.95","13,117.95","12,422.2","11,380.72",Upgrade
Total Debt,"8,270.79","6,330.92","6,016.05","4,726.17","4,315.29","2,825.42","3,351.54","3,403.14","3,743.93","4,025.49","5,021.05","5,472.93","5,572.99","5,009.84","5,509.47","5,833.66","5,603.7","5,373.75","5,523.78","5,473.8","4,798.82","5,173.83","5,273.83","5,352.61","5,177.38","5,642.16","5,621.91","5,346.67","4,661.42","4,411.01","4,093.82","3,743.7","3,293.68","3,318.56","2,593.65","2,698.79","2,473.51","2,414.31","2,369.76","2,198.25",Upgrade
Debt Growth,91.66%,124.07%,79.50%,38.88%,15.26%,-29.81%,-33.25%,-37.82%,-32.82%,-19.65%,-8.87%,-6.18%,-0.55%,-6.77%,-0.26%,6.57%,16.77%,3.86%,4.74%,2.26%,-7.31%,-8.30%,-6.19%,0.11%,11.07%,27.91%,37.33%,42.82%,41.53%,32.92%,57.84%,38.72%,33.16%,37.45%,9.45%,22.77%,22.59%,25.41%,4.67%,-4.66%,Upgrade
Common Stock,270.1,322.49,382.19,388.36,627.41,708.36,886.77,"1,012.72","1,009.54","1,018.45",996.36,992.43,988.68,"1,084.87","1,078.9","1,081.92","1,180.22","1,221.14","1,365.9","1,456.62","1,451.17","1,499.3","1,493.86","1,489.23","1,485.47","1,427.5","1,421.66","1,416.8","1,412.34","1,407.82","1,400.04","1,395.14","1,390.43","1,354.56","1,349.98","1,345.12","1,341.01","1,335.96","1,328.17","1,318.46",Upgrade
