Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+28 Quarters
Cash & Equivalents,"3,021.29","4,493.72","3,574.36","4,312.66","3,979.22","2,199.73","5,125.16","2,577.12","2,971.71","2,064.46","2,714.11","2,319.71","2,386.33","2,523.65","2,844.54","1,809.05","1,788.37","2,545.16","2,346.52","1,998.93","2,450.13","3,922.03","2,981.42","3,271.58","3,720.58","2,842.41","2,890.85","2,231.73","1,921.14","2,424.46","2,234.82","2,939.38","3,105.09","3,220.56","2,461.47","2,483.98","1,998.11","1,877.88","2,012.47","1,837.85",Upgrade
Cash & Cash Equivalents,"3,021.29","4,493.72","3,574.36","4,312.66","3,979.22","2,199.73","5,125.16","2,577.12","2,971.71","2,064.46","2,714.11","2,319.71","2,386.33","2,523.65","2,844.54","1,809.05","1,788.37","2,545.16","2,346.52","1,998.93","2,450.13","3,922.03","2,981.42","3,271.58","3,720.58","2,842.41","2,890.85","2,231.73","1,921.14","2,424.46","2,234.82","2,939.38","3,105.09","3,220.56","2,461.47","2,483.98","1,998.11","1,877.88","2,012.47","1,837.85",Upgrade
Cash Growth,-24.07%,104.28%,-30.26%,67.34%,33.90%,6.55%,88.83%,11.10%,24.53%,-18.20%,-4.59%,28.23%,33.44%,-0.85%,21.22%,-9.50%,-27.01%,-35.11%,-21.30%,-38.90%,-34.15%,37.98%,3.13%,46.59%,93.67%,17.24%,29.35%,-24.07%,-38.13%,-24.72%,-9.21%,18.33%,55.40%,71.50%,22.31%,35.16%,-2.85%,-11.17%,23.02%,44.58%,Upgrade
Receivables,"5,024.7","4,609.61","4,865.02","4,666.1","4,521.82","5,293.48","4,214.38","3,742.37","3,990.93","4,087.67","3,294.91","2,930.11","3,402.84","3,569.95","3,219.94","3,013.8","3,032.18","2,630.36","2,893.28","2,933.67","2,591.31","2,903.16","2,933.07","2,820.89","2,943.28","2,215.07","1,817.3","1,982.31","1,800.38","1,853.95","2,089.92","1,918.89","2,405.05","1,687.73","1,984.02","2,131.72","2,065.3","2,080.4","1,809.34","1,933.3",Upgrade
"Property, Plant & Equipment",894.07,896.98,887.83,886.91,868.44,788.99,745.89,723.54,736.63,526.94,544.36,568.66,542.76,471.06,490.88,507.07,521.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
Goodwill and Intangibles,"2,120.5","2,107.49","2,122.3","2,137.19","2,155.89","2,174.59","2,193.28","2,211.98","2,230.66","2,249.44","2,214.12","2,231.87","2,249.62","2,267.37","2,285.12","2,302.87","2,320.62","2,338.37","2,144.56","2,159.04","2,173.53","2,188.02","1,948.23","1,959.2","1,970.16","1,981.12","1,996.74","2,018.41","2,041.24","2,064.07","2,167.7","2,197.22","2,221.43","2,246.23","2,271.23","2,296.32","2,321.88","2,348.14","2,374.54","2,257.65",Upgrade
Total Assets,"41,086.44","42,524.23","40,259.32","41,631.31","43,344.08","41,196.41","39,038.09","33,297.19","29,709.99","26,269.25","25,041.57","28,844.38","26,946.49","32,585.51","32,385.77","30,972.21","29,874.95","28,924.65","30,460.36","30,075.3","27,933.38","34,415.92","31,761.99","30,127.93","28,337.16","26,403.34","24,413.52","23,041.66","22,050.9","22,526.08","23,618.7","24,683.5","32,406.6","31,497.1","30,513.86","30,059.31","30,028.55","29,678.61","28,034.88","27,742.88",Upgrade
Accounts Payable,"3,550.12","3,276.55","3,202.8","2,993.01","2,934.18","2,843.27","2,297.87","2,431.69","2,000.71","1,852.15","1,868.35","2,187.77","2,247.81","1,833.03","2,054.44","2,011.59","1,781.12","1,911.76","1,811.48","1,918.05","2,182.58","2,980.68","2,714.71","3,036.25","2,943.12","2,403.55","2,283.82","1,920.66","1,780.59","1,931.36","2,209.04","2,313.44","2,707.1","2,684.67","3,375.99","2,737.52","2,784.75","2,308.95","2,925.37","2,920.18",Upgrade
Total Liabilities,"22,372.61","22,843.16","20,523.94","20,297.21","21,103.05","19,490.36","18,160.23","14,750.18","12,884.8","11,678.74","11,541.89","16,348.35","15,368.39","17,482.45","17,756.31","16,907.13","15,728.25","15,170.56","15,753.37","15,439.7","14,408.57","20,692.83","18,300.37","16,870.93","15,234.31","13,888.4","12,059.49","10,926.24","10,139.82","10,295.62","10,948.43","10,771.73","14,452.62","14,163.55","14,122.67","14,248.6","15,256.78","15,300.94","15,530.36","15,742.17",Upgrade
Total Debt,"13,351.72","13,464.81","10,588.63","10,538.71","10,028.1","8,742.03","8,462.8","6,528.83","6,507.87","6,393.34","6,324.12","11,609.53","11,155.34","11,853.38","12,078.61","11,586.95","10,945.53","10,316.68","10,527.68","10,533.67","9,617.24","15,088.66","12,761.88","11,393.21","10,070.03","9,157.09","7,482.95","6,913.88","6,513.18","6,334.34","6,374.51","6,017.06","9,312.69","9,039.63","8,125.09","9,161.71","10,500.6","10,859.05","10,971.8","11,441.45",Upgrade
Debt Growth,33.14%,54.02%,25.12%,61.42%,54.09%,36.74%,33.82%,-43.76%,-41.66%,-46.06%,-47.64%,0.19%,1.92%,14.90%,14.73%,10.00%,13.81%,-31.63%,-17.51%,-7.54%,-4.50%,64.78%,70.55%,64.79%,54.61%,44.56%,17.39%,14.90%,-30.06%,-29.93%,-21.55%,-34.32%,-11.31%,-16.75%,-25.95%,-19.93%,-14.07%,-19.08%,-15.93%,-7.09%,Upgrade
Common Stock,"5,957.06","5,935.28","5,791.01","5,870.29","5,879.8","5,794.73","6,037.64","6,282.61","6,446.84","6,332.11","6,243.73","6,272.05","6,298.1","6,428.65","6,292.77","6,335.9","6,501.07","6,415.7","7,024.08","7,105.23","6,541.41","6,668.51","6,620.43","6,558.16","6,713.62","6,523.93","6,344.79","6,208.39","6,136.48","6,322.31","6,566.99","7,176.45","7,500.8","7,081.13","6,712.14","6,738.57","6,343.03","6,303.3","5,669.93","5,537.75",Upgrade
Retained Earnings,"1,156.11","1,748.11","1,869.46","2,803.1","3,805.92","3,647.79","3,031.77","2,133.79","1,408.77",335.76,-36.43,-574.3,-871.95,609.63,456.81,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
Comprehensive Income,-22.33,-27.48,-74.8,-42.23,-25.75,-19.63,-15.36,-10.25,-11.45,-15.83,-27.41,-36.76,-41.53,-28.5,-35.17,-27.54,-32.43,-36.48,-36.56,-57.88,-27.2,-34.02,-34.42,-47.48,-55.2,-62.89,-47.47,-45.89,-46.06,-52.52,-49.89,-36.12,-42.01,-20.86,-9.41,5.75,2.42,3.47,1.63,1.15,Upgrade
Shareholders' Equity,"7,090.84","7,655.91","7,585.68","8,631.17","9,659.97","9,422.89","9,054.04","8,406.16","7,844.15","6,652.04","6,179.89","5,660.99","5,384.62","7,009.78","6,714.41","6,308.36","6,468.64","6,379.22","6,987.52","7,047.35","6,514.21","6,634.49","6,586.01","6,510.68","6,658.42","6,461.04","6,297.32","6,162.5","6,090.41","6,269.79","6,517.1","7,140.33","7,458.79","7,060.27","6,702.73","6,744.32","6,345.45","6,306.77","5,671.56","5,538.9",Upgrade
Total Liabilities and Equity,"29,463.45","30,499.07","28,109.61","28,928.38","30,763.02","28,913.26","27,214.27","23,156.33","20,728.95","18,330.79","17,721.78","22,009.35","20,753.01","24,492.24","24,470.72","23,215.48","22,196.89","21,549.79","22,740.89","22,487.05","20,922.77","27,327.32","24,886.38","23,381.61","21,892.73","20,349.45","18,356.81","17,088.74","16,230.24","16,565.41","17,465.53","17,912.06","21,911.4","21,223.82","20,825.4","20,992.92","21,602.24","21,607.7","21,201.92","21,281.07",Upgrade
Net Cash / Debt,"-10,330.43","-8,971.09","-7,014.27","-6,226.05","-6,048.88","-6,542.29","-3,337.63","-3,951.71","-3,536.16","-4,328.88","-3,610.01","-9,289.82","-8,769.01","-9,329.73","-9,234.06","-9,777.89","-9,157.17","-7,771.52","-8,181.16","-8,534.75","-7,167.11","-11,166.63","-9,780.47","-8,121.63","-6,349.44","-6,314.67","-4,592.1","-4,682.15","-4,592.04","-3,909.89","-4,139.69","-3,077.68","-6,207.59","-5,819.06","-5,663.62","-6,677.73","-8,502.49","-8,981.17","-8,959.33","-9,603.59",Upgrade
Net Cash Per Share,-13.84,-12.07,-9.45,-8.80,-8.23,-9.00,-4.62,-5.48,-4.98,-6.16,-5.15,-7.71,-12.97,-13.73,-13.66,-14.51,-7.63,-6.47,-6.78,-12.51,-5.92,-16.76,-8.15,-6.77,-5.29,-5.28,-3.84,-3.92,-3.85,-3.29,-6.48,-4.85,-9.83,-9.35,-9.21,-10.95,-14.04,-15.05,-15.11,-16.37,Upgrade
Book Value Per Share,9.50,10.31,10.22,12.20,13.15,12.97,12.54,11.66,11.06,9.47,8.83,8.10,7.96,10.32,9.93,9.36,9.59,9.43,10.24,10.34,9.66,9.92,9.87,9.79,10.07,9.86,9.68,9.53,9.44,9.78,10.20,11.30,11.93,11.48,10.96,11.12,10.55,10.65,9.62,9.49,Upgrade
