Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,+67 Quarters
Cash & Equivalents,16.11,52.22,280.14,246.11,231.52,208.69,210.38,88.16,96.11,69.72,39.85,51.73,15.57,21.82,20.15,19.23,16.65,13.41,13.6,16.25,22.22,68.35,16.84,27.21,18.43,38.28,35.69,35.99,67.84,150.48,51.66,28.55,20.79,21.2,34.64,47.49,58.2,60.22,74.47,75.77,Upgrade
Cash & Cash Equivalents,16.11,52.22,280.14,246.11,231.52,208.69,210.38,88.16,96.11,69.72,39.85,51.73,15.57,21.82,20.15,19.23,16.65,13.41,13.6,16.25,22.22,68.35,16.84,27.21,18.43,38.28,35.69,35.99,67.84,150.48,51.66,28.55,20.79,21.2,34.64,47.49,58.2,60.22,74.47,75.77,Upgrade
Cash Growth,-93.04%,-74.98%,33.16%,179.17%,140.89%,199.34%,427.96%,70.43%,517.43%,219.48%,97.80%,169.05%,-6.52%,62.68%,48.15%,18.33%,-25.06%,-80.37%,-19.23%,-40.29%,20.56%,78.54%,-52.83%,-24.40%,-72.83%,-74.56%,-30.92%,26.07%,226.31%,609.95%,49.15%,-39.88%,-64.28%,-64.80%,-53.49%,-37.33%,-9.58%,6.51%,61.41%,67.73%,Upgrade
"Property, Plant & Equipment",10.29,10.53,10.35,10.38,10.34,9.22,9.16,2.37,2.54,2.71,2.73,2.73,2.78,2.96,3.14,4.15,3.08,3.13,3.16,3.19,3.28,3.42,2.51,2.49,2.48,2.43,2.47,2.52,2.93,3.17,4.81,5.13,4.78,5.26,4.12,5.32,4.81,9.3,8.92,11.89,Upgrade
Goodwill and Intangibles,28.36,28.47,28.58,28.69,28.93,29.06,29.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
Total Assets,"1,184.29","1,169.63","1,224.22","1,131.13","1,093.51","1,063.56","1,041",479.59,483.38,499.22,491.3,506.04,440.37,414.62,429.84,421.15,409.4,419.47,412.06,401.5,413.7,440.65,435.5,454.14,429.08,413.37,408.39,387.28,402.91,403.91,359.22,354.04,350.86,337.99,334.68,335.08,332.48,345.67,345.2,363.11,Upgrade
Total Liabilities,904.64,892.05,939.47,994.79,952.41,920.18,897.5,434.52,434.49,449.85,441.78,456.96,391.52,365.76,380.83,372.2,360.96,371.45,364.76,354.05,365.97,392.54,387.95,407.24,383.56,365.85,361.17,340.39,356.75,363.26,319.57,315.43,313.61,310.55,307.94,308.51,306.89,320.09,328.61,345.94,Upgrade
Total Debt,205.82,112.3,114.22,143,151.91,157.95,183.49,113.56,113.82,120.61,121.4,119.57,89.37,81.12,80.93,80.66,76.16,88.62,90.01,70.69,71.17,92.64,110.11,106.6,90.93,76.17,75.76,77.4,77.76,84.1,83.64,90.26,92.18,89.62,89.16,88.76,89.2,97.49,91.05,90.83,Upgrade
Debt Growth,35.48%,-28.90%,-37.75%,25.93%,33.47%,30.95%,51.14%,-5.02%,27.36%,48.69%,50.01%,48.23%,17.35%,-8.47%,-10.09%,14.10%,7.00%,-4.34%,-18.25%,-33.68%,-21.73%,21.63%,45.33%,37.73%,16.93%,-9.44%,-9.41%,-14.25%,-15.64%,-6.15%,-6.20%,1.69%,3.34%,-8.08%,-2.07%,-2.28%,-2.21%,2.53%,-3.86%,-3.71%,Upgrade
Common Stock,287.66,288.11,288.07,138,137.88,137.85,137.68,40.73,40.94,40.82,40.7,40.59,40.45,40.36,40.28,40.19,40.09,40.06,40.03,39.99,40,39.94,39.87,39.75,39.62,43.66,43.65,43.64,43.63,43.63,43.63,43.63,43.63,34.61,34.61,34.59,34.58,34.52,25.9,25.8,Upgrade
Retained Earnings,9.29,7.79,6.47,4.62,3.67,5.15,5,4.3,7.78,8.36,8.61,8.39,8.43,8.49,8.77,8.91,8.63,8.36,7.61,7.73,7.82,8.28,7.78,7.25,6.01,3.81,3.49,3.17,2.53,-3.11,-4.09,-5.24,-6.54,-7.26,-8.02,-8.08,-9.07,-9.03,-9.48,-8.92,Upgrade
Comprehensive Income,-17.47,-18.47,-9.9,-6.4,-0.55,0.33,0.79,0.05,0.16,0.18,0.21,0.1,-0.02,0.01,-0.03,-0.15,-0.28,-0.41,-0.33,-0.28,-0.08,-0.1,-0.1,-0.11,-0.1,0.05,0.09,0.09,-0,0.13,0.1,0.22,0.17,0.08,0.15,0.06,0.08,0.1,0.17,0.3,Upgrade
