Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-30,2021-09-30,2021-06-30,2021-03-16
Cash & Equivalents,0.51,0.59,0.7,1.02,0.05,0.13,-,0.03
Cash & Cash Equivalents,0.51,0.59,0.7,1.02,0.05,0.13,0,0.03
Cash Growth,845.10%,343.68%,-,3992.57%,-,-,-,-
Other Current Assets,0.26,0.28,0.3,0.31,0,0,-,0
Total Current Assets,0.77,0.86,1,1.34,0.05,0.13,-,0.03
Long-Term Investments,250.33,248.05,246.75,246.4,0,0,-,0
Other Long-Term Assets,0.01,0.07,0.14,0.2,0.62,0.45,-,0.09
Total Long-Term Assets,250.34,248.12,246.89,246.59,0.62,0.45,-,0.09
Total Assets,251.11,248.98,247.89,247.93,0.67,0.59,-,0.12
Accounts Payable,0.24,0.13,0.12,0.07,0,0,-,0
Current Debt,0,0,0,0,0.29,0.29,-,0
Other Current Liabilities,0.98,0.47,0.2,0.3,0.38,0.29,-,0.1
Total Current Liabilities,1.22,0.6,0.33,0.37,0.67,0.58,-,0.1
Other Long-Term Liabilities,10.26,11.35,12.8,14.26,0,0,-,0
Total Long-Term Liabilities,10.26,11.35,12.8,14.26,0,0,-,0
Total Liabilities,11.48,11.95,13.13,14.63,0.67,0.58,-,0.1
Total Debt,0,0,0,0,0.29,0.29,-,0
Common Stock,0,0,0,0,0.03,0.03,-,0.03
Retained Earnings,-10.7,-11.01,-12,-13.09,-0.02,-0.01,-,-0
Shareholders' Equity,-10.7,-11.01,-12,-13.09,0,0.01,-,0.02
Total Liabilities and Equity,0.78,0.94,1.14,1.54,0.67,0.59,-,0.12
Net Cash / Debt,0.51,0.59,0.7,1.02,-0.24,-0.16,0,0.03
Net Cash / Debt Growth,-,-,-,3992.57%,-,-,-,-
Net Cash Per Share,0.02,0.02,0.02,0.04,-0.04,-0.02,-,-
Working Capital,-0.45,0.26,0.67,0.97,-0.61,-0.44,-,-0.07
Book Value Per Share,-0.34,-0.35,-0.38,-0.52,-,0.00,-,-
