Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,+99 Quarters
Cash & Equivalents,"1,998.15","1,589.63","1,839.7","1,662.05","1,294.68",452.02,961.26,599.54,417.37,345.95,558.97,282.99,333.01,799.76,526.25,698.15,332.44,308.17,350.94,307.45,220.72,220.19,228.06,401.42,222.97,324.73,272.85,346.45,197.97,272.99,217.98,559.81,357.25,239.63,246.15,590.11,528.42,560.87,795.26,"1,117.45",Upgrade
Short-Term Investments,"11,944.1","12,441.89","13,450.62","14,371.61","15,606.47","10,053.37","9,084.11","7,640.27","6,231.01","5,659.79","4,973.17","4,468.34","4,481.97","2,766.45","2,760.73","2,692.5","2,749.19","2,826.36","2,828.75","3,027.19","2,835.37","2,359.97","2,421.3","2,540.89","2,531.68","2,468.2","2,103.88","2,016.37","2,082.33","2,161.13","2,251.15","2,194.37","2,156.93","2,211.46","2,332.19","2,426.76","2,466.99","2,554.16","2,644.94","2,607.18",Upgrade
Cash & Cash Equivalents,"13,942.25","14,031.52","15,290.32","16,033.66","16,901.15","10,505.4","10,045.37","8,239.81","6,648.37","6,005.73","5,532.14","4,751.33","4,814.98","3,566.2","3,286.98","3,390.65","3,081.62","3,134.53","3,179.69","3,334.64","3,056.09","2,580.15","2,649.35","2,942.31","2,754.64","2,792.93","2,376.74","2,362.83","2,280.3","2,434.12","2,469.13","2,754.18","2,514.18","2,451.1","2,578.34","3,016.87","2,995.41","3,115.02","3,440.19","3,724.63",Upgrade
Cash Growth,-17.51%,33.56%,52.21%,94.59%,154.21%,74.92%,81.58%,73.42%,38.08%,68.41%,68.30%,40.13%,56.25%,13.77%,3.37%,1.68%,0.84%,21.49%,20.02%,13.33%,10.94%,-7.62%,11.47%,24.52%,20.80%,14.74%,-3.74%,-14.21%,-9.30%,-0.69%,-4.24%,-8.71%,-16.07%,-21.31%,-25.05%,-19.00%,-17.66%,233.61%,315.71%,338.13%,Upgrade
Receivables,0,0,0,0,0,97.63,98.58,106.36,106.32,110.19,101.32,70.46,65.17,62.82,60.6,59.04,57.05,56.37,51.92,52.86,45.67,44.45,40.72,42.33,42.01,41.58,39.65,41.4,40.9,41.6,41.07,42.93,41.99,42.31,40.7,42.67,42.15,43.03,41.43,44.7,Upgrade
Other Current Assets,0,0,0,0,0,"5,859.56","6,838.9","8,402.36","9,679.84","10,369.28","11,219.82","10,337.14","10,323.86","12,090.75","11,580.53","10,990.99","11,005.2","10,262.2","10,195.72","9,807.24","8,728.35","9,144.63","9,104.25","8,713.62","8,767.81","8,688.72","8,995.47","8,887.87","8,774.97","8,533.3","8,255.83","8,018.53","7,992.33","7,742.07","7,405.9","7,031.08","6,897.04","6,614.33","6,502.9","6,427.48",Upgrade
Total Current Assets,"13,942.25","14,031.52","15,290.32","16,033.66","16,901.15","16,462.59","16,982.85","16,748.53","16,434.53","16,485.2","16,853.28","15,158.93","15,204.01","15,719.77","14,928.12","14,440.68","14,143.88","13,453.1","13,427.33","13,194.74","11,830.11","11,769.24","11,794.32","11,698.26","11,564.46","11,523.23","11,411.85","11,292.1","11,096.17","11,009.02","10,766.03","10,815.64","10,548.49","10,235.48","10,024.94","10,090.61","9,934.61","9,772.38","9,984.51","10,196.81",Upgrade
"Property, Plant & Equipment",817.43,802.38,782.73,781.21,786.43,534,533.28,508.51,508.15,508.15,504.75,497.67,480.9,480.82,447.56,432.54,361.86,342.95,339.37,342.35,314.36,311.53,306.86,305.25,305.56,305.25,305.69,306.77,308.13,304.32,303.84,305.34,304.94,307.5,310.52,314.37,315.26,314.44,313.08,313.98,Upgrade
Long-Term Investments,"11,944.1","12,441.89","13,450.62","14,371.61","15,606.47","10,053.37","9,084.11","7,640.27","6,231.01","5,659.79","4,973.17","4,468.34","4,481.97","2,766.45","2,760.73","2,692.5","2,749.19","2,826.36","2,828.75","3,027.19","2,835.37","2,359.97","2,421.3","2,540.89","2,531.68","2,468.2","2,103.88","2,016.37","2,082.33","2,161.13","2,251.15","2,194.37","2,156.93","2,211.46","2,332.19","2,426.76","2,466.99","2,554.16","2,644.94","2,607.18",Upgrade
Goodwill,"1,458.8","1,449.51","1,444.21","1,409.04","1,407.95",958.3,957.47,851.61,851.61,847.53,847.98,848.24,825.68,822.09,734.47,699.07,695.72,590.29,588,580.9,300.8,300.8,300.8,300.8,300.8,294.9,294.9,291.5,291.5,291.5,291.5,291.5,291.5,291.5,291.5,286.8,286.8,275.17,275.17,275.17,Upgrade
