Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Cash & Equivalents,0.24,0.46,0.54,0.74,0.98,0.04,0.17
Cash & Cash Equivalents,0.24,0.46,0.54,0.74,0.98,0.04,0.17
Cash Growth,-75.08%,1087.19%,214.70%,-,-,-,-
Other Current Assets,0.28,0.33,0.33,0.33,0.33,0.12,0.09
Total Current Assets,0.52,0.8,0.87,1.07,1.31,0.16,0.26
Long-Term Investments,130.89,129.8,129.22,129.04,129.03,0,0
Other Long-Term Assets,0,0.03,0.11,0.19,0.28,0,0
Total Long-Term Assets,130.89,129.83,129.33,129.24,129.31,0,0
Total Assets,131.41,130.63,130.2,130.31,130.62,0.16,0.26
Accounts Payable,0,0,0,0.02,0,0,0
Current Debt,0,0,0,0,0,0.3,0.3
Other Current Liabilities,0.14,0.14,0.11,0.17,0.24,0.12,0.2
Total Current Liabilities,0.14,0.14,0.11,0.19,0.24,0.42,0.5
Other Long-Term Liabilities,4.43,4.43,4.43,4.43,4.43,0,0
Total Long-Term Liabilities,4.43,4.43,4.43,4.43,4.43,0,0
Total Liabilities,4.57,4.56,4.54,4.62,4.67,0.42,0.5
Total Debt,0,0,0,0,0,0.3,0.3
Common Stock,0,0,0,0,0,0.03,0.03
Retained Earnings,-4.05,-3.74,-3.56,-3.34,-3.08,-0.28,-0.26
Shareholders' Equity,-4.05,-3.74,-3.56,-3.34,-3.08,-0.26,-0.24
Total Liabilities and Equity,0.52,0.82,0.98,1.28,1.59,0.16,0.26
Net Cash / Debt,0.24,0.46,0.54,0.74,0.98,-0.26,-0.13
Net Cash / Debt Growth,-75.08%,-,-,-,-,-,-
Net Cash Per Share,0.02,0.03,0.03,0.05,0.17,-0.08,-0.06
Working Capital,0.38,0.66,0.76,0.88,1.07,-0.26,-0.24
Book Value Per Share,-0.26,-0.24,-0.23,-0.21,-0.53,-0.08,-0.12
