Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+60 Quarters
Cash & Equivalents,60.21,49.69,49.19,54.79,166.87,135.48,42.26,95.31,139.47,168.03,185.15,396.22,118.37,70.7,220.37,43.05,218.05,81.71,139.06,182.08,140.58,29.12,351.66,130.25,240.59,150.56,281.76,152.83,203.81,232.35,772.63,46.67,"1,021.15",208.64,810.84,88.42,114.84,88.67,113.89,131.29,Upgrade
Cash & Cash Equivalents,60.21,49.69,49.19,54.79,166.87,135.48,42.26,95.31,139.47,168.03,185.15,396.22,118.37,70.7,220.37,43.05,218.05,81.71,139.06,182.08,140.58,29.12,351.66,130.25,240.59,150.56,281.76,152.83,203.81,232.35,772.63,46.67,"1,021.15",208.64,810.84,88.42,114.84,88.67,113.89,131.29,Upgrade
Cash Growth,-63.92%,-63.32%,16.40%,-42.51%,19.64%,-19.38%,-77.17%,-75.95%,17.82%,137.66%,-15.98%,820.35%,-45.71%,-13.47%,58.48%,-76.36%,55.11%,180.61%,-60.46%,39.79%,-41.57%,-80.66%,24.81%,-14.78%,18.04%,-35.20%,-63.53%,227.49%,-80.04%,11.36%,-4.71%,-47.22%,789.23%,135.31%,611.98%,-32.65%,136.41%,-15.68%,-19.63%,-24.09%,Upgrade
"Property, Plant & Equipment",92.42,93.51,94.82,96.01,96.95,97.72,99.13,99.55,99.09,101.24,101.88,98.95,98.59,98.19,96.78,96.17,96.49,96.11,96.01,85.6,84.7,84.59,84.82,83.85,83.25,83.84,83.22,81.93,80.86,79.19,75.81,73.07,72.15,71,70.53,69.79,70.22,71.48,70.11,64.95,Upgrade
Total Assets,"10,085.77","9,929.76","9,624.9","9,476.05","9,531.3","9,609.16","9,631.25","9,649.67","9,698.02","9,606.96","9,487.22","9,558.81","9,371.19","9,236.57","9,340.02","9,286.28","9,534.55","9,303.78","9,449.55","9,048.74","9,116.46","8,990.16","9,192.92","9,103.28","9,246.39","9,139.51","9,267.25","9,241.78","9,316.68","9,133.42","9,844.16","9,131.18","10,023.1","9,056.36","9,865.03","9,031.04","9,115.42","9,111.05","9,186.45","9,239.76",Upgrade
Accounts Payable,0,0,0,0,0,0,0,0,0,139.59,0,149.45,127.37,107.74,101.87,83.41,71.68,68.51,83.02,51.29,49.07,46.96,52.19,37.87,41.38,46.54,49.55,39.98,41.86,41.7,36.69,35.27,39.51,38.12,46.36,29.33,30.51,33.97,31.4,31.61,Upgrade
Total Liabilities,"9,013.74","8,874.97","8,528.4","8,344.31","8,356.54","8,392.5","8,388.97","8,412.04","8,419.42","8,330.42","8,202.36","8,258.29","8,083.4","7,929.98","8,003.69","7,959.18","8,178.57","7,957.87","8,057.93","7,707.41","7,751.72","7,639.55","7,824.6","7,744.29","7,864.1","7,771.34","7,874.28","7,860.96","7,913.28","7,742.59","8,427.94","7,704.46","8,546.44","7,590.43","8,372.15","7,532.13","7,585.41","7,541.59","7,554.32","7,615.26",Upgrade
Total Debt,"2,756.8","2,681.4","2,212.22","1,925.85","1,649.65","1,621.53","1,655.58","1,629.73","1,643.58","1,767.49","1,855.03","2,028.21","2,171.18","2,217.28","2,305.68","2,279.76","2,388.29","2,309.58","2,350.3","2,314.52","2,329.17","2,301.95","2,437.56","2,413.14","2,527.9","2,498.16","2,635.03","2,709.93","2,723.89","2,695.59","3,532.34","2,830.33","3,643.39","2,814.64","3,647.78","2,823.86","2,837.34","2,859.55","2,890.93","2,935.81",Upgrade
Debt Growth,67.11%,65.36%,33.62%,18.17%,0.37%,-8.26%,-10.75%,-19.65%,-24.30%,-20.29%,-19.54%,-11.03%,-9.09%,-4.00%,-1.90%,-1.50%,2.54%,0.33%,-3.58%,-4.09%,-7.86%,-7.85%,-7.49%,-10.95%,-7.19%,-7.32%,-25.40%,-4.25%,-25.24%,-4.23%,-3.16%,0.23%,28.41%,-1.57%,26.18%,-3.81%,-5.40%,-2.11%,-2.03%,0.37%,Upgrade
Common Stock,"1,140.51","1,140.1","1,161.87","1,161.36","1,160.83","1,160.24","1,159.63","1,159.05","1,158.1","1,157.4","1,158.2","1,179.62","1,179.02","1,178.31","1,176.95","1,176.05","1,174.56","1,173.81","1,172.71","1,132.95","1,132.3","1,131.49","1,130.76","1,129.88","1,129.02","1,124.73","1,118.58","1,114.9","1,113.27","1,112.35","1,111.11","1,123.5","1,138.86","1,137.75","1,139.19","1,149.97","1,155.32","1,189.34","1,192.66","1,190.4",Upgrade
