Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-30
Cash & Equivalents,187.94,1.35,1.43,186.18,186.65,0.03,-,-,0.03
Cash & Cash Equivalents,187.94,1.35,1.43,186.18,186.65,0.03,0,0,0.03
Cash Growth,0.69%,5300.55%,-,-,746491.83%,-,-,-,-
Other Current Assets,-187.61,-0.84,-0.65,-185.44,-185.48,0,-,-,0
Total Current Assets,0.33,0.51,0.78,0.74,1.17,0.03,-,-,0.03
Long-Term Investments,0,185.77,184.88,0,0,0,-,-,0
Other Long-Term Assets,187.91,1.33,1.32,186.29,186.46,0.16,-,-,0
Total Long-Term Assets,187.91,187.1,186.2,186.29,186.46,0.16,-,-,0
Total Assets,188.24,187.61,186.98,187.03,187.63,0.18,-,-,0.03
Accounts Payable,0,0,0.08,0,1.01,0,-,-,0
Current Debt,4.49,4.43,4.38,4.3,3.65,0.09,-,-,0
Other Current Liabilities,0.61,0.4,0.22,0.1,0.03,0.08,-,-,0
Total Current Liabilities,5.1,4.83,4.68,4.41,4.7,0.16,-,-,0
Total Liabilities,5.1,4.83,4.68,4.41,4.7,0.16,-,-,0
Total Debt,4.49,4.43,4.38,4.3,3.65,0.09,-,-,0
Debt Growth,22.92%,5036.48%,-,-,-,-,-,-,-
Common Stock,0,0,0.08,0.04,0,0.03,-,-,0.03
Retained Earnings,-4.15,-3.79,-3.53,-3.56,-3.22,-0,-,-,-0
Comprehensive Income,0,-0.1,-0.4,0,0,0,-,-,0
Shareholders' Equity,-4.15,-3.88,-3.85,-3.52,-3.22,0.02,-,-,0.02
Total Liabilities and Equity,0.95,0.95,0.83,0.88,1.48,0.18,-,-,0.03
Net Cash / Debt,183.45,-3.08,-2.96,181.87,183,-0.06,0,0,0.03
Net Cash / Debt Growth,0.25%,-,-,-,731891.83%,-,-,-,-
Net Cash Per Share,-,-,-,-,-,-,-,-,0.01
Working Capital,-4.76,-4.32,-3.9,-3.66,-3.53,-0.14,-,-,0.02
Book Value Per Share,-0.18,-0.17,-0.17,-0.15,-0.64,0.01,-,-,0.01
