Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-28
Cash & Equivalents,0.02,0.08,0.43,0.67,1,1.05,1.13,1.29,0
Cash & Cash Equivalents,0.02,0.08,0.43,0.67,1,1.05,1.13,1.29,0
Cash Growth,-97.92%,-92.73%,-62.15%,-47.96%,-,-,-,-,-
Other Current Assets,0.03,0.12,0.16,0.01,0.04,0.1,0.17,0.23,0.09
Total Current Assets,0.05,0.19,0.58,0.68,1.04,1.15,1.3,1.52,0.09
Long-Term Investments,304.09,301.68,300.44,300.12,300.08,300.06,300.03,300.01,0
Total Long-Term Assets,304.09,301.68,300.44,300.12,300.08,300.06,300.03,300.01,0
Total Assets,304.14,301.88,301.03,300.8,301.12,301.2,301.33,301.53,0.09
Accounts Payable,0.73,0.35,0.57,0.51,0.48,0.01,0.01,0.02,0
Current Debt,0,0,0,0,0,0,0,0,0.01
Other Current Liabilities,0,0,0,0,0,0.01,0.04,0.09,0.06
Total Current Liabilities,0.73,0.35,0.57,0.51,0.48,0.02,0.05,0.1,0.07
Other Long-Term Liabilities,10.57,11.22,12.2,14.34,19.41,20.64,25.73,32.27,0
Total Long-Term Liabilities,10.57,11.22,12.2,14.34,19.41,20.64,25.73,32.27,0
Total Liabilities,11.29,11.56,12.77,14.86,19.89,20.66,25.78,32.38,0.07
Total Debt,0,0,0,0,0,0,0,0,0.01
Common Stock,0,0,0,0,0,0,0.07,6.47,0.03
Retained Earnings,-11.24,-11.37,-12.18,-14.18,-18.85,-19.51,4.93,-1.47,-0.01
Shareholders' Equity,-11.24,-11.37,-12.18,-14.18,-18.85,-19.51,5,5,0.02
Total Liabilities and Equity,0.05,0.19,0.58,0.68,1.04,1.15,30.78,37.38,0.09
Net Cash / Debt,0.02,0.08,0.43,0.67,1,1.05,1.13,1.29,-0.01
Net Cash / Debt Growth,-97.92%,-92.73%,-62.15%,-47.96%,-,-,-,-,-
Net Cash Per Share,0.00,0.00,0.01,0.02,0.03,0.03,0.03,0.06,-0.00
Working Capital,-0.67,-0.16,0.02,0.17,0.56,1.13,1.25,1.42,0.02
Book Value Per Share,-0.30,-0.30,-0.33,-0.38,-0.50,-0.52,0.13,0.23,0.00
