Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-08
Cash & Equivalents,0.64,0.67,0.7,0,0,-,-,0
Cash & Cash Equivalents,0.64,0.67,0.7,0,0,0,0,0
Receivables,0,0,0,0.01,0,-,-,0
Other Current Assets,0.22,0.27,0.29,-,0.01,-,-,-
Total Current Assets,0.86,0.95,1,-,0.01,-,-,-
Long-Term Investments,120.08,119.1,118.57,-,0,-,-,-
Other Long-Term Assets,0,0.02,0.08,-,0.44,-,-,-
Total Long-Term Assets,120.08,119.12,118.65,-,0.44,-,-,-
Total Assets,120.94,120.07,119.64,0.68,0.45,-,-,0.06
Accounts Payable,0.12,0.07,0.03,0,0,-,-,0
Current Debt,0,0,0,0.25,0.19,-,-,0
Other Current Liabilities,0.26,0.21,0.12,0.42,0.24,-,-,0.04
Total Current Liabilities,0.38,0.28,0.15,0.67,0.44,-,-,0.04
Other Long-Term Liabilities,4.03,4.03,4.03,0,0,-,-,0
Total Long-Term Liabilities,4.03,4.03,4.03,0,0,-,-,0
Total Liabilities,4.4,4.3,4.17,0.67,0.44,-,-,0.04
Total Debt,0,0,0,0.25,0.19,-,-,0
Common Stock,0,0,0,0.03,0.03,-,-,0.03
Retained Earnings,-3.55,-3.34,-3.09,-0.01,-0.01,-,-,-0.01
Shareholders' Equity,-3.55,-3.34,-3.09,0.01,0.01,-,-,0.02
Total Liabilities and Equity,0.86,0.97,1.08,0.68,0.45,-,-,0.06
Net Cash / Debt,0.64,0.67,0.7,-0.25,-0.19,0,0,0
Net Cash Per Share,0.06,0.05,0.07,-0.10,-0.08,-,-,-
Working Capital,0.48,0.67,0.85,-,-0.42,-,-,-
Book Value Per Share,-0.34,-0.23,-0.30,0.01,0.01,-,-,-
