Metrics,2022-12-31,2022-06-30,2021-12-31,2021-06-30,2020-12-31,2020-06-30,2019-12-31,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30
Cash & Equivalents,0,0.01,0,0,0,0,0.12,0.04,0.01,0,0.16,0.01,0.88,0,0,0,0,0.01,0,0,0.04,0.04,0.02,0,0,0
Cash & Cash Equivalents,0,0.01,0,0,0,0,0.12,0.04,0.01,0,0.16,0.01,0.88,0,0,0,0,0.01,0,0,0.04,0.04,0.02,0,0,0
Cash Growth,-,-,-,-99.95%,-,-,-23.17%,275.75%,-99.04%,-,28273.47%,-,-,-,-,-,-,-76.86%,-,-,-,-,-,-,-,-
Receivables,3.18,1.26,2.2,3.78,2.43,4.4,3.2,1.45,4.01,0.58,3.54,2.13,2.62,2.57,13.01,5.71,1.48,1.63,0.34,0.66,0.93,0.25,0.13,0.27,0.08,0.07
Other Current Assets,0,0,0,-3.78,-2.43,-4.4,-3.32,-1.49,-4.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Total Current Assets,3.18,1.27,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long-Term Investments,"1,399.38","1,595.75","1,226.94","1,219.58",769.06,715.9,812.38,818.36,761.08,557.4,603.02,384.59,381.91,304.95,321.43,382.15,168.02,181.33,183.85,102.49,113.56,86.99,94.6,61.51,65.55,48.01
Other Long-Term Assets,0,0,0,"-1,219.58",-769.06,-715.9,-812.38,-818.36,-761.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Total Long-Term Assets,"1,399.38","1,595.75","1,226.94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Assets,"1,402.57","1,597.07","1,229.17","1,223.4",771.52,720.34,815.7,819.88,765.12,558.06,606.72,386.76,385.41,307.54,334.45,387.89,169.52,182.98,184.19,103.16,114.53,87.28,94.75,61.79,65.63,48.42
Accounts Payable,0.64,41.68,0.47,0.52,1.62,1.42,4.17,0.56,1.96,1.06,9.52,3.56,4.84,2.83,10.48,3.14,0.91,1.27,3.68,0.06,8.57,0.1,6.54,0.28,1.3,0.07
Other Current Liabilities,0,0,0,-0.52,-1.62,-1.42,-4.17,-0.56,-1.96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Total Current Liabilities,0.64,41.68,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long-Term Debt,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
Other Long-Term Liabilities,0.64,41.68,0.47,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Total Long-Term Liabilities,0.64,41.68,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Liabilities,2.23,42.91,1.8,1.75,2.49,2.19,5.11,1.42,2.88,1.72,10.28,4.1,5.38,3.24,10.97,3.7,1.23,1.51,3.82,0.24,8.83,0.15,6.64,0.35,1.36,0.46
Total Debt,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
Common Stock,0.22,0.2,0.12,0.12,0.08,0.08,0.08,0.07,0.07,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01
Retained Earnings,0.1,35.29,291.49,214.5,183.66,114.85,142.98,109.19,-14.37,0,0,0,0,0,0,0,0,0,0,0,0,-0.58,-3.72,-2.08,-4.22,-3.42
Shareholders' Equity,"1,400.34","1,554.16","1,227.37","1,221.65",769.03,718.14,810.6,818.46,762.24,556.34,596.44,382.66,380.02,304.3,323.48,384.19,168.29,181.47,180.37,102.92,105.7,87.14,88.11,61.44,64.27,47.95
Total Liabilities and Equity,"1,402.57","1,597.07","1,229.17","1,223.4",771.52,720.34,815.7,819.88,765.12,558.06,606.72,386.76,385.41,307.54,334.45,387.89,169.52,182.98,184.19,103.16,114.53,87.28,94.75,61.79,65.63,48.42
Net Cash / Debt,0,0.01,0,0,0,0,0.12,0.04,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Net Cash / Debt Growth,-,-,-,-99.95%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Working Capital,2.55,-40.4,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
