Metrics,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31,2021-10-31,2021-07-31,2021-04-30,2021-01-31,2020-10-31,2020-07-31,2020-04-30,2020-01-31,2019-10-31,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-07-31,2016-04-30,2016-01-31,2015-10-31,2015-07-31,2015-04-30,2015-01-31,2014-10-31,2014-07-31,2014-04-30,2014-01-31,2013-10-31,2013-07-31,2013-04-30,+19 Quarters
Cash & Equivalents,"63,915","79,187","60,611","62,643","57,446","69,365","63,592","58,770","74,850","71,065","75,634","61,203","27,359","21,023","21,598","19,686","21,534","23,179","22,884","23,375","22,229","19,187","25,783","21,097","20,956","19,598","18,445","15,901","16,611","21,882","23,434","21,293","16,958","16,936","14,430","13,579","9,323","9,796","12,782","10,657",Upgrade
Cash & Cash Equivalents,"63,915","79,187","60,611","62,643","57,446","69,365","63,592","58,770","74,850","71,065","75,634","61,203","27,359","21,023","21,598","19,686","21,534","23,179","22,884","23,375","22,229","19,187","25,783","21,097","20,956","19,598","18,445","15,901","16,611","21,882","23,434","21,293","16,958","16,936","14,430","13,579","9,323","9,796","12,782","10,657",Upgrade
Cash Growth,11.26%,14.16%,-4.69%,6.59%,-23.25%,-2.39%,-15.92%,-3.98%,173.58%,238.03%,250.19%,210.90%,27.05%,-9.30%,-5.62%,-15.78%,-3.13%,20.81%,-11.24%,10.80%,6.07%,-2.10%,39.78%,32.68%,26.16%,-10.44%,-21.29%,-25.32%,-2.05%,29.20%,62.40%,56.81%,81.89%,72.89%,12.89%,27.42%,2.30%,21.87%,-0.05%,14.93%,Upgrade
"Property, Plant & Equipment","3,314","3,377","3,286","3,357","3,325","3,286","3,133","2,826","2,932","2,997","3,023","3,064","3,087","1,813","1,771","1,786","1,783","1,795","1,733","1,746","1,735","1,783","1,762","1,796","1,752","1,898","1,859","1,832","1,930","1,897","1,867","1,821","1,874","1,797","1,728","1,741","1,795","1,719","1,663","1,660",Upgrade
Goodwill and Intangibles,"7,870","7,940","7,568","7,474","7,130","6,983","6,935","6,872","7,026","7,214","7,445","7,639","7,416","7,418","7,493","7,572","7,475","7,509","7,431","7,375","7,187","7,345","6,923","3,003","2,951","2,949","2,865","2,793","2,830","2,723","2,661","2,553","2,546","2,417","2,353","2,335","2,751","2,489","2,444","2,397",Upgrade
Total Assets,"921,991","943,597","896,790","894,148","861,664","837,683","806,067","782,878","782,908","769,551","768,545","759,136","672,118","651,604","642,522","634,109","614,647","597,099","595,025","590,537","586,927","565,264","560,912","528,591","513,294","501,357","494,490","478,144","479,032","463,309","457,842","439,203","445,223","414,903","405,422","397,102","400,955","398,006","397,547","397,705",Upgrade
Total Liabilities,"872,083","893,215","847,966","846,201","814,372","791,853","761,782","740,198","740,979","728,216","728,446","718,883","632,888","613,024","604,512","596,896","578,564","561,983","560,471","556,991","554,605","534,027","530,890","502,715","488,568","477,684","471,769","456,372","457,067","441,756","436,779","419,322","425,744","396,120","386,910","378,858","382,068","380,012","379,629","380,193",Upgrade
Total Debt,"716,854","733,681","700,984","694,337","664,681","638,552","619,205","599,197","592,112","589,949","598,427","572,297","516,046","504,285","499,909","489,755","479,144","471,688","472,745","461,696","463,916","452,397","454,962","423,377","421,861","409,978","406,657","393,384","403,683","388,803","385,360","365,968","375,524","344,480","336,758","329,813","335,096","333,524","330,029","331,599",Upgrade
Debt Growth,7.85%,14.90%,13.21%,15.88%,12.26%,8.24%,3.47%,4.70%,14.74%,16.99%,19.71%,16.85%,7.70%,6.91%,5.75%,6.08%,3.28%,4.26%,3.91%,9.05%,9.97%,10.35%,11.88%,7.62%,4.50%,5.45%,5.53%,7.49%,7.50%,12.87%,14.43%,10.96%,12.06%,3.28%,2.04%,-0.54%,1.41%,1.83%,-0.68%,2.56%,Upgrade
Common Stock,"20,086","19,764","19,075","18,985","18,898","18,786","17,944","17,824","17,685","17,600","16,747","16,666","16,617","16,541","16,478","16,143","16,056","15,629","15,584","15,551","15,451","14,482","14,130","9,574","9,351","9,098","8,879","8,866","8,861","8,889","8,879","8,880","8,901","8,888","9,117","9,208","9,538","9,541","9,545","9,529",Upgrade
Retained Earnings,"28,403","28,823","28,439","27,567","26,807","25,793","25,055","24,003","23,060","22,119","21,726","21,238","21,543","20,972","20,535","19,793","19,101","18,537","18,051","17,412","16,701","16,101","15,535","15,011","14,483","13,584","13,145","12,197","11,785","11,433","11,119","10,590","10,121","9,626","9,258","8,820","8,985","8,318","8,026","7,545",Upgrade
