Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+50 Quarters
Cash & Equivalents,"1,565.2","2,720.1","2,130.1","1,879.5","2,045.7","2,834.9","1,459.4","1,081",936.4,"1,633.2","1,332.1","1,405.4",851.7,"1,551.4","1,210.1",937.7,997.4,"1,374.5","1,406.3","1,098.9",784.6,"1,903.6","1,631.1","1,362.3","1,287.8","1,868.6","1,420.5","1,161.1","1,146","1,692.6","1,434.3","1,151","1,694.8","1,366.1","1,087.9","1,037.3","1,053.7","2,469.7","2,065","1,968",Upgrade
Short-Term Investments,"128,195.7","135,345.2","140,066.2","138,525.5","167,846.3","158,064.6","149,301.9","141,410.7","123,519.2","86,882.7","88,176.2","79,529.5","100,449.3","37,160.2","41,241.4","32,571.3","33,702.6","39,528.4","37,926.7","36,966.1","39,179.3","44,275.4","47,030.3","47,489.3","44,508.3","37,626.8","31,690.4","36,218.4","37,576.5","35,625.5","49,393.6","42,244.2","45,253","40,641.5","32,458.1","20,162.8","21,730.7","21,423.5","16,257.8","14,337.1",Upgrade
Cash & Cash Equivalents,"129,760.9","138,065.3","142,196.3","140,405","169,892","160,899.5","150,761.3","142,491.7","124,455.6","88,515.9","89,508.3","80,934.9","101,301","38,711.6","42,451.5","33,509","34,700","40,902.9","39,333","38,065","39,963.9","46,179","48,661.4","48,851.6","45,796.1","39,495.4","33,110.9","37,379.5","38,722.5","37,318.1","50,827.9","43,395.2","46,947.8","42,007.6","33,546","21,200.1","22,784.4","23,893.2","18,322.8","16,305.1",Upgrade
Cash Growth,-23.62%,-14.19%,-5.68%,-1.46%,36.51%,81.77%,68.43%,76.06%,22.86%,128.65%,110.85%,141.53%,191.93%,-5.36%,7.93%,-11.97%,-13.17%,-11.43%,-19.17%,-22.08%,-12.74%,16.92%,46.96%,30.69%,18.27%,5.83%,-34.86%,-13.86%,-17.52%,-11.16%,51.52%,104.69%,106.05%,75.81%,83.08%,30.02%,92.83%,189.75%,93.40%,110.56%,Upgrade
Receivables,723.6,483.2,580.2,582.3,608.9,434.5,470.4,509.6,547,461.3,490.9,532.1,799.7,491.8,545.7,593.7,559.5,553.3,386.3,433.9,444.1,359.7,390.3,416.4,426.6,364.4,395.7,427,389.3,357.8,363.8,399.9,383.4,341.2,344.8,334.9,344.6,302.7,311.9,359.1,Upgrade
Other Current Assets,547.2,529.8,476.4,463.7,503.4,427.8,362.7,"1,847.7","1,742.9",306.7,350.1,319.2,315.9,364.4,695.1,359.7,345.7,430.5,"1,795.5","1,801.6",646.8,367.8,340.8,228.9,145.8,171.7,269.4,220.7,141.5,228.6,267.1,260,154.8,196.5,275.6,196.2,180.7,209.7,413.4,260.4,Upgrade
Total Current Assets,"131,031.7","139,078.3","143,252.9","141,451","171,004.3","161,761.8","151,594.4","144,849","126,745.5","89,283.9","90,349.3","81,786.2","102,416.6","39,567.8","43,692.3","34,462.4","35,605.2","41,886.7","41,514.8","40,300.5","41,054.8","46,906.5","49,392.5","49,496.9","46,368.5","40,031.5","33,776","38,027.2","39,253.3","37,904.5","51,458.8","44,055.1","47,486","42,545.3","34,166.4","21,731.2","23,309.7","24,405.6","19,048.1","16,924.6",Upgrade
"Property, Plant & Equipment",440.3,455.5,465.5,481.6,493.9,505.3,521.3,527.6,528.6,579.2,547.2,538.6,538.4,544,517.3,500.4,467.7,448.7,362.7,380,387.2,399.7,388.9,399.5,411.6,425.2,426.7,437.9,449.8,491.7,496.1,499.2,503.3,508.9,498.7,503.4,508.4,513.4,714.2,713.2,Upgrade
Goodwill and Intangibles,"30,883.2","30,927.5","30,924.8","31,041.5","31,154.3","31,235.3","31,296.9","31,377.6","31,426.4","32,839.4","32,824.9","32,849.5","32,915.7","33,035.5","33,110.9","33,279.3","33,406.2","33,480.7","27,012.7","27,043.3","27,066.9","27,090.6","27,114.3","27,138.1","27,162.1","27,186.1","27,210.2","27,234.2","27,258.2","27,282.2","27,307","27,331.9","27,356.8","27,381.7","27,406.6","27,435.2","27,460.4","27,485.5","27,520.5","27,546.2",Upgrade
Other Long-Term Assets,"3,684","3,714.4","3,788.3","3,697.2","3,265.2","3,277.9","3,361.7","1,944.9","1,951.6","1,957.1","2,037.4","2,040.5","2,061.6","2,068","2,097.1","2,107.4","2,135.4","1,659.6","1,473.9","1,475.5","1,410.4","1,394.4","1,427.3","1,509.3","1,533.8","1,726.6","1,838.4","1,926.3","1,806.9","1,681","1,687.7","1,776.9","1,782.3","1,805.6","1,898.6","1,941.5","1,888.6","1,873.3","1,697.1","1,698.7",Upgrade
