Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-01
Cash & Equivalents,0.38,0.52,0.41,0.54,0.72,1.21,0.08,0.03,0.03
Cash & Cash Equivalents,0.38,0.52,0.41,0.54,0.72,1.21,0.08,0.03,0.03
Cash Growth,-47.72%,-57.09%,407.69%,2063.78%,2779.22%,-,-,-,-
Other Current Assets,0.23,0.33,0.41,0.43,0.45,0.4,0.24,0.23,0.02
Total Current Assets,0.61,0.85,0.81,0.97,1.17,1.61,0.32,0.26,0.04
Long-Term Investments,359.91,356.19,354.04,352.45,352.03,351.92,0,0,0
Other Long-Term Assets,0,0,0.04,0.13,0.23,0.32,0,0,0
Total Long-Term Assets,359.91,356.19,354.08,352.58,352.26,352.25,0,0,0
Total Assets,360.52,357.04,354.89,353.55,353.43,353.86,0.32,0.26,0.04
Accounts Payable,0.11,0.09,0.12,0.09,0.1,0.31,0,0,0
Current Debt,0,0,0,0,0,0,0.18,0.08,0
Other Current Liabilities,1.27,0.49,0.38,0.06,0,0,0.13,0.16,0.02
Total Current Liabilities,1.38,0.57,0.51,0.15,0.1,0.31,0.3,0.23,0.02
Long-Term Debt,0.65,1,1.96,2.59,5.36,5.49,0,0,0
Other Long-Term Liabilities,15.01,13.89,16.34,17.88,22.47,30.73,0,0,0
Total Long-Term Liabilities,15.66,14.89,18.3,20.47,27.83,36.22,0,0,0
Total Liabilities,17.04,15.46,18.81,20.61,27.93,36.53,0.3,0.23,0.02
Total Debt,0.65,1,1.96,2.59,5.36,5.49,0.18,0.08,0
Debt Growth,-87.81%,-81.79%,1021.71%,3348.00%,-,-,-,-,-
Common Stock,0,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-15.11,-14.06,-17.25,-19.24,-26.4,-34.58,-0,-0,-0
Shareholders' Equity,-15.11,-14.06,-17.25,-19.24,-26.4,-34.58,0.02,0.02,0.02
Total Liabilities and Equity,1.93,1.4,1.56,1.37,1.53,1.96,0.32,0.26,0.04
Net Cash / Debt,-0.28,-0.48,-1.55,-2.04,-4.64,-4.28,-0.09,-0.05,0.03
Net Cash Per Share,-0.01,-0.01,-0.04,-0.05,-0.11,-0.32,-0.01,-0.01,-
Working Capital,-0.77,0.28,0.31,0.82,1.07,1.3,0.02,0.02,0.02
Book Value Per Share,-0.35,-0.33,-0.40,-0.45,-0.61,-2.59,0.00,0.00,-
