Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-08
Cash & Equivalents,0.17,0.31,0.36,0.49,0.54,0.88,1.05,0.03,0.03,0
Cash & Cash Equivalents,0.17,0.31,0.36,0.49,0.54,0.88,1.05,0.03,0.03,0
Cash Growth,-69.08%,-65.22%,-66.02%,1860.28%,2039.56%,-,-,-,-,-
Receivables,0,0,0,0,0.01,0,0,0,0,0
Other Current Assets,0.16,0.2,0.3,0.39,0.5,0.61,0.72,0,0,0.01
Total Current Assets,0.33,0.51,0.66,0.89,1.04,1.49,1.77,0.03,0.03,0.01
Long-Term Investments,288.35,285.23,282.62,281.29,281.02,280.95,280.93,0,0,0
Other Long-Term Assets,0,0,0,0,0,0,0,0.73,0.54,0.04
Total Long-Term Assets,288.35,285.23,282.62,281.29,281.02,280.95,280.93,0.73,0.54,0.04
Total Assets,288.68,285.74,283.28,282.18,282.06,282.44,282.7,0.76,0.56,0.05
Accounts Payable,0.14,0.09,0.05,0.09,0.02,0.14,0.05,0.54,0.02,0
Current Debt,0,0,0,0,0,0,0,0.23,0.17,0
Other Current Liabilities,0.53,0.46,0.42,0.39,0.31,0.2,0.24,0,0.38,0.04
Total Current Liabilities,0.67,0.55,0.47,0.48,0.33,0.34,0.3,0.78,0.57,0.04
Other Long-Term Liabilities,12.2,14.71,11.09,12.79,16.04,24.81,21.11,0,0,0
Total Long-Term Liabilities,12.2,14.71,11.09,12.79,16.04,24.81,21.11,0,0,0
Total Liabilities,12.87,15.25,11.56,13.27,16.37,25.15,21.41,0.78,0.57,0.04
Total Debt,0,0,0,0,0,0,0,0.23,0.17,0
Common Stock,0,0,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-12.44,-14.65,-10.8,-12.28,-15.21,-23.61,-19.61,-0.04,-0.03,-0.01
Shareholders' Equity,-12.44,-14.65,-10.8,-12.28,-15.21,-23.61,-19.61,-0.02,-0.01,0.01
Total Liabilities and Equity,0.43,0.61,0.76,0.99,1.16,1.54,1.8,0.76,0.56,0.05
Net Cash / Debt,0.17,0.31,0.36,0.49,0.54,0.88,1.05,-0.21,-0.15,0
Net Cash / Debt Growth,-69.08%,-65.22%,-66.02%,-,-,-,-,-,-,-
Net Cash Per Share,0.01,0.01,0.01,0.02,0.02,0.06,0.04,-0.82,-0.63,-
Working Capital,-0.34,-0.04,0.19,0.41,0.71,1.14,1.48,-0.75,-0.55,-0.02
Book Value Per Share,-0.44,-0.49,-0.36,-0.41,-0.54,-1.55,-0.70,-0.08,-0.04,0.01
