Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.94,1.13,1.26,1.65,0.21,0.28
Cash & Cash Equivalents,0.94,1.13,1.26,1.65,0.21,0.28
Cash Growth,344.84%,295.88%,-,-,-,-
Other Current Assets,0.6,0.62,0.65,0.68,0,-
Total Current Assets,1.53,1.74,1.91,2.33,0.21,-
Long-Term Investments,297.42,294.94,293.61,293.3,0,-
Other Long-Term Assets,0,0.16,0.31,0.46,0.48,-
Total Long-Term Assets,297.42,295.09,293.92,293.75,0.48,-
Total Assets,298.95,296.84,295.83,296.08,0.69,0.64
Accounts Payable,0.45,0.55,0.19,0.3,0.02,0
Current Debt,0,0,0,0,0.3,0.3
Other Current Liabilities,0.75,0,0,0,0.37,0.32
Total Current Liabilities,1.2,0.55,0.19,0.3,0.68,0.62
Other Long-Term Liabilities,10.06,10.06,10.06,10.06,0,0
Total Long-Term Liabilities,10.06,10.06,10.06,10.06,0,0
Total Liabilities,11.26,10.61,10.26,10.37,0.68,0.62
Total Debt,0,0,0,0,0.3,0.3
Common Stock,0,0,0,0,0.03,0.03
Retained Earnings,-8.78,-8.3,-8.02,-7.58,-0.02,-0
Shareholders' Equity,-8.78,-8.3,-8.02,-7.58,0,0.02
Total Liabilities and Equity,2.48,2.31,2.23,2.79,0.69,0.64
Net Cash / Debt,0.94,1.13,1.26,1.65,-0.09,-0.02
Net Cash Per Share,0.03,0.03,0.04,0.05,-0.01,-0.00
Working Capital,0.33,1.19,1.71,2.02,-0.47,-
Book Value Per Share,-0.32,-0.23,-0.22,-0.23,0.00,0.00
