Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+32 Quarters
Cash & Equivalents,183.87,147.64,163.5,197.98,223.8,85.17,160.88,232.61,95.6,47.11,91.19,80.2,187.52,26.82,91.42,115.88,135.48,13.09,20.35,30.77,34.74,40.29,51.38,66.08,68.23,61.78,67.27,66.71,66.69,62.71,62.02,51.81,39.37,51.42,58.08,70.38,98.23,107.06,97.75,89.71,Upgrade
Short-Term Investments,22.06,0,4.49,4.47,10.94,41.31,70.21,75.83,33.92,49.62,108.64,123.16,33.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
Cash & Cash Equivalents,205.93,147.64,167.99,202.45,234.74,126.47,231.1,308.44,129.53,96.73,199.82,203.35,221.2,26.82,91.42,115.88,135.48,13.09,20.35,30.77,34.74,40.29,51.38,66.08,68.23,61.78,67.27,66.71,66.69,62.71,62.02,51.81,39.37,51.42,58.08,70.38,98.23,107.06,97.75,89.71,Upgrade
Cash Growth,-12.27%,16.74%,-27.31%,-34.37%,81.23%,30.74%,15.65%,51.68%,-41.44%,260.67%,118.57%,75.48%,63.28%,104.90%,349.30%,276.56%,289.95%,-67.52%,-60.39%,-53.43%,-49.08%,-34.78%,-23.62%,-0.95%,2.31%,-1.48%,8.47%,28.76%,69.41%,21.97%,6.78%,-26.38%,-59.92%,-51.97%,-40.58%,-21.55%,-13.54%,-23.99%,-25.27%,-26.50%,Upgrade
Receivables,803.06,886.94,787.65,802.06,833.16,914.01,758.67,759.16,743.69,794.2,608.2,585.51,561.39,591.55,358.42,342.47,331.59,349.46,267.88,268.24,273.15,280.89,13.02,18.61,27.9,9.21,7.61,13.93,19.63,9.65,8.83,10.17,14.61,8.2,5.88,6.86,8.39,4.59,6.6,5.33,Upgrade
Other Current Assets,-588.33,-633.49,-560.54,-593.9,-618.36,-632.9,-529.87,-565.71,-552.6,-559.95,-429.59,-433.73,-429.62,-410.23,-215.5,-211.66,-207.89,-206.38,-151.77,-173.71,-167.71,-165.45,7.64,4.7,4.45,5.15,5.96,5.4,4.95,5.19,7.65,6.78,7.44,6.86,8.32,12.61,15.75,12.82,13.84,13.58,Upgrade
Total Current Assets,420.66,401.08,395.1,410.6,449.54,407.59,459.9,501.89,320.62,330.99,378.43,355.13,352.97,208.15,234.35,246.7,259.17,156.17,136.45,125.31,140.19,155.74,72.04,89.39,100.58,76.14,80.85,86.05,91.26,77.54,78.5,68.76,61.42,66.48,72.28,89.85,122.36,124.46,118.19,108.62,Upgrade
"Property, Plant & Equipment",30.38,32.02,38.77,44.49,47.21,49.48,52.49,54.29,56.15,57.17,58.37,61.25,56.27,47.14,46.95,47.45,33.69,7.68,7.01,4.64,4.62,4.71,4.96,5.22,5.7,5.61,6.1,6.69,6.73,7.36,8.09,8.51,8.94,9.64,10.53,10.59,10.41,10.28,10.68,9.48,Upgrade
Long-Term Investments,0,0,0,0,0,0,0,0,0,0,1.29,11.36,24.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
Goodwill and Intangibles,0,0,0,0,0,0,48.39,48.51,48.63,48.8,49.09,49.38,49.75,50.3,50.84,51.39,51.94,52.48,53.03,53.58,54.12,21.64,21.9,22.16,22.42,22.68,22.94,23.2,23.46,23.72,23.98,24.24,24.53,24.87,25.34,25.69,26.05,21.59,21.95,22.3,Upgrade
Other Long-Term Assets,632,679.51,618.02,639.83,666.12,692.23,598.83,607.05,592.4,603.06,473.72,466.23,458.12,436.05,249.1,237.96,226.44,222.94,175.52,188.19,181.61,177.04,5.27,4.86,4.42,4.47,4.35,4.02,3.62,4.7,4.42,4.12,3.88,5.68,12.22,11.34,10.41,10.09,10.28,10.67,Upgrade
Total Long-Term Assets,662.37,711.53,656.8,684.32,713.32,741.71,699.71,709.85,697.18,709.03,582.47,588.22,588.55,533.49,346.89,336.8,312.06,283.11,235.56,246.4,240.35,203.38,32.12,32.24,32.54,32.76,33.39,33.91,33.81,35.78,36.49,36.87,37.34,40.19,48.08,47.62,46.86,41.96,42.9,42.45,Upgrade
Total Assets,"1,083.03","1,112.61","1,051.89","1,094.92","1,162.86","1,149.29","1,159.6","1,211.74","1,017.8","1,040.02",960.91,943.35,941.52,741.63,581.24,583.49,571.24,439.28,372.01,371.71,380.54,359.12,104.16,121.63,133.12,108.9,114.23,119.95,125.07,113.32,114.99,105.63,98.76,106.66,120.36,137.48,169.22,166.43,161.09,151.07,Upgrade
Accounts Payable,5.27,6.73,6.63,5.79,8.2,13.75,10.08,15.42,10.94,36.92,21.44,7.29,8.91,24.55,18.06,5.52,4.36,5.69,4.91,2.15,2.79,3.25,3.56,2.34,1.7,5.11,2.33,2.34,2.06,3.01,2.07,2.07,2.3,5.96,2.77,4.15,2.41,4.38,4.23,5.45,Upgrade
Deferred Revenue,0,0,0,0,0,0,10.55,1.36,0.88,0,26.47,0.1,2.68,2.57,9.08,0,0,0.88,0,0,0,0,3.07,0.39,0.73,0.96,1.42,0.51,0.33,0.39,3.68,0.6,0.88,0.87,2.27,1.51,1.7,1.78,4.35,1.55,Upgrade
Current Debt,6.63,6.49,5.99,5.89,5.66,5.54,5.57,5.44,5.32,5.19,5.11,4.92,4.17,4.76,4.32,3.9,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
Other Current Liabilities,39.57,47.35,25.5,24.21,46.54,56.17,36.23,30.78,39.98,42.3,33.46,30.42,26.92,81.1,52.2,55.04,47.27,54.06,41.58,34.06,28.94,22.2,17.04,19.34,16.4,21.85,14.61,15.3,21.8,28.53,16.64,15.01,15.96,19.91,13.44,11.84,23.1,21.08,17.48,13.71,Upgrade
Total Current Liabilities,51.47,60.57,38.12,35.89,60.39,75.47,62.43,53.01,57.11,84.41,86.48,42.72,42.68,112.99,83.66,64.46,55.06,60.62,46.49,36.22,31.73,25.45,23.67,22.07,18.83,27.92,18.36,18.15,24.19,31.94,22.4,17.68,19.15,26.74,18.48,17.51,27.2,27.24,26.06,20.7,Upgrade
Long-Term Debt,99.06,100.32,96.96,98.17,99.4,35.83,37.14,38.58,39.98,41.37,42.4,45.78,41.99,34.31,34.18,35.39,24.15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
Other Long-Term Liabilities,33.15,37.49,28.13,37.93,47.34,55.89,56.93,69.89,76.77,76.69,56.34,62.79,65.16,67.18,31.83,40.39,46.38,70.51,51.05,55.24,58.71,47.01,1.31,1.43,1.43,3.37,3.28,4.7,4.89,4.96,5.82,6.61,6.65,6.45,6.2,5.87,5.9,6.17,6.22,5.98,Upgrade
Total Long-Term Liabilities,132.21,137.81,125.09,136.11,146.74,91.72,94.07,108.47,116.76,118.06,98.74,108.57,107.15,101.49,66.01,75.77,70.53,75.51,51.05,55.24,58.71,47.01,1.31,1.43,1.43,3.37,3.28,4.7,4.89,4.96,5.82,6.61,6.65,6.45,6.2,5.87,5.9,6.17,6.22,5.98,Upgrade
