Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-08
Cash & Equivalents,0.11,0.26,0.32,0.41,0.66,0.07,0.11,0.16
Cash & Cash Equivalents,0.11,0.26,0.32,0.41,0.66,0.07,0.11,0.16
Cash Growth,-83.95%,259.03%,186.54%,150.37%,-,-,-,-
Other Current Assets,0.24,0.3,0.3,0.3,0.32,0,0,0
Total Current Assets,0.35,0.56,0.62,0.71,0.98,0.07,0.11,0.16
Long-Term Investments,212.09,210.31,209.39,209.09,209.07,0,0,0
Other Long-Term Assets,0,0.02,0.09,0.17,0.24,0.38,0.25,0.09
Total Long-Term Assets,212.09,210.33,209.48,209.26,209.31,0.38,0.25,0.09
Total Assets,212.44,210.88,210.1,209.97,210.29,0.45,0.36,0.25
Accounts Payable,0.14,0.11,0,0,0.02,0,0,0
Current Debt,0,0,0,0,0,0.15,0.15,0.15
Other Current Liabilities,1.2,0.88,0.69,0.45,0.22,0.28,0.18,0.08
Total Current Liabilities,1.34,1,0.69,0.45,0.24,0.43,0.33,0.23
Other Long-Term Liabilities,7.25,7.25,7.25,7.25,7.25,0,0,0
Total Long-Term Liabilities,7.25,7.25,7.25,7.25,7.25,0,0,0
Total Liabilities,8.59,8.24,7.93,7.7,7.48,0.43,0.33,0.23
Total Debt,0,0,0,0,0,0.15,0.15,0.15
Common Stock,0.01,0.01,0.01,0.01,0.01,1.73,0.03,0.03
Retained Earnings,-8.24,-7.67,-7.23,-6.81,-6.27,-1.7,-0,-0
Shareholders' Equity,-8.24,-7.67,-7.22,-6.8,-6.26,0.02,0.02,0.02
Total Liabilities and Equity,0.35,0.57,0.71,0.9,1.22,0.45,0.36,0.25
Net Cash / Debt,0.11,0.26,0.32,0.41,0.66,-0.08,-0.04,0.01
Net Cash / Debt Growth,-83.95%,-,-,3154.79%,-,-,-,-
Net Cash Per Share,0.00,0.01,0.01,0.02,0.07,-0.02,-0.01,-
Working Capital,-0.99,-0.44,-0.07,0.25,0.74,-0.36,-0.22,-0.06
Book Value Per Share,-0.35,-0.29,-0.28,-0.26,-0.64,0.01,0.01,-
