Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-15
Cash & Equivalents,0.01,0.02,0.02,0.2,0.61,0,0,0
Cash & Cash Equivalents,0.01,0.02,0.02,0.2,0.61,0,0,0
Cash Growth,-98.31%,4160.69%,3671.08%,3866.45%,-,-,-,-
Other Current Assets,0.04,0.05,0.09,0.14,0.09,0.2,-,-
Total Current Assets,0.05,0.07,0.1,0.34,0.7,0.2,-,-
Long-Term Investments,118.99,116.84,116.32,116.16,116.15,0,-,-
Other Long-Term Assets,0,0,0.01,0.03,0.04,0,-,-
Total Long-Term Assets,118.99,116.85,116.33,116.19,116.19,0,-,-
Total Assets,119.03,116.92,116.44,116.53,116.89,0.2,0.17,0.1
Accounts Payable,0.99,0.72,0.08,0.01,0.18,0,0,0
Current Debt,0.53,0.2,0,0,0,-,0.04,0
Other Current Liabilities,0.29,0,0,0,0,-,0.08,0.08
Total Current Liabilities,1.81,0.92,0.09,0.01,0.18,-,0.11,0.08
Other Long-Term Liabilities,4.78,6.05,6.64,7.62,9.17,-,0,0
Total Long-Term Liabilities,4.78,6.05,6.64,7.62,9.17,-,0,0
Total Liabilities,6.59,6.98,6.72,7.63,9.35,0.18,0.11,0.08
Total Debt,0.53,0.2,0,0,0,0.06,0.04,0
Debt Growth,-,235.92%,-,-,-,-,-,-
Common Stock,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-5.95,-6.9,-6.44,-7.26,-8.61,-0,-0,-0
Shareholders' Equity,-5.95,-6.9,-6.44,-7.26,-8.61,0.02,0.02,0.02
Total Liabilities and Equity,0.64,0.08,0.29,0.38,0.74,0.2,0.14,0.1
Net Cash / Debt,-0.52,-0.18,0.02,0.2,0.61,-0.06,-0.03,0
Net Cash / Debt Growth,-,-,-,3866.45%,-,-,-,-
Net Cash Per Share,-0.04,-0.01,0.00,0.01,-,-0.02,-0.01,-
Working Capital,-1.76,-0.85,0.02,0.33,0.52,-,-,-
Book Value Per Share,-0.41,-0.48,-0.45,-0.50,-1.54,0.01,0.01,-
