Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2020-12-31
Cash & Equivalents,"1,584",960,"1,384",992,-,"1,533",-,889
Cash & Cash Equivalents,"1,584",960,"1,384",992,0,"1,533",0,889
Cash Growth,-,-37.38%,-,11.59%,-,-,-,-
Receivables,"6,361","5,417","4,808","4,218",-,"3,613",-,"3,184"
"Property, Plant & Equipment",0,0,21,23,-,21,-,19
Goodwill and Intangibles,"5,426","5,178","5,194","4,899",-,"3,990",-,"3,674"
Total Assets,"59,414","54,628","51,310","49,626",-,"48,730",-,"39,756"
Accounts Payable,"1,453","1,260","1,289","1,384",-,"1,297",-,"1,179"
Total Liabilities,"56,929","52,223","49,635","47,132",-,"44,245",-,"35,682"
Total Debt,"1,572","1,114",585,587,-,991,-,603
Debt Growth,-,12.41%,-,-2.65%,-,-,-,-
Common Stock,"3,167","3,162","3,159","3,157",-,"2,750",-,"2,741"
Retained Earnings,"1,866","2,061","1,582","1,467",-,"1,001",-,136
Comprehensive Income,"-2,548","-2,818","-3,066","-2,130",-,734,-,"1,197"
Shareholders' Equity,"2,485","2,405","1,675","2,494",-,"4,485",-,"4,074"
Total Liabilities and Equity,"59,414","54,628","51,310","49,626",-,"48,730",-,"39,756"
Net Cash / Debt,12,-154,799,405,0,542,0,286
Net Cash / Debt Growth,-,-,-,41.61%,-,-,-,-
Net Cash Per Share,0.10,-1.25,6.38,-,-,5.16,-,-
Book Value Per Share,19.88,19.53,13.37,23.58,-,42.71,-,-
