Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-30
Cash & Equivalents,0.09,0.04,0.33,0.6,1.06,1.2,0.1,0.03
Cash & Cash Equivalents,0.09,0.04,0.33,0.6,1.06,1.2,0.1,0.03
Cash Growth,-91.16%,-96.66%,246.15%,2290.09%,-,-,-,-
Receivables,0,0,0,0,0,0,0,0
Other Current Assets,0.31,0.44,0.43,0.43,0.42,0.81,0.02,0
Total Current Assets,0.4,0.48,0.76,1.03,1.48,2,0.12,0.03
Long-Term Investments,42.45,41.68,230.18,230.02,230,230,0,0
Other Long-Term Assets,0,0,0.08,0.18,0.28,0,0.51,0.44
Total Long-Term Assets,42.45,41.68,230.26,230.2,230.29,230,0.51,0.44
Total Assets,42.85,42.16,231.02,231.24,231.77,232.01,0.62,0.47
Accounts Payable,0.05,0.1,0.03,0.04,0.06,0,0,0
Current Debt,1.22,0.46,0,0,0,0,0.19,0
Other Current Liabilities,3.26,0.78,0.35,0.35,0.35,0.05,0.49,0.45
Total Current Liabilities,4.54,1.34,0.37,0.39,0.41,0.05,0.68,0.45
Other Long-Term Liabilities,1.07,9.03,9.71,14.07,16.04,20.93,0,0
Total Long-Term Liabilities,1.07,9.03,9.71,14.07,16.04,20.93,0,0
Total Liabilities,5.61,10.37,10.08,14.45,16.45,20.98,0.68,0.45
Total Debt,1.22,0.46,0,0,0,0,0.19,0
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-5.21,-9.9,-9.24,-13.24,-14.69,-18.98,-0.08,-0.01
Shareholders' Equity,-5.21,-9.9,-9.24,-13.24,-14.69,-18.98,-0.06,0.02
Total Liabilities and Equity,0.4,0.48,0.84,1.21,1.76,2.01,0.62,0.47
Net Cash / Debt,-1.13,-0.42,0.33,0.6,1.06,1.2,-0.09,0.03
Net Cash / Debt Growth,-,-,-,2290.09%,-,-,-,-
Net Cash Per Share,-0.05,-0.02,0.01,0.02,0.07,0.12,-0.02,0.01
Working Capital,-4.13,-0.86,0.39,0.65,1.07,1.96,-0.57,-0.43
Book Value Per Share,-0.22,-0.37,-0.32,-0.46,-1.00,-1.95,-0.01,0.00
