Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-10-08
Cash & Equivalents,0.26,0.33,0.33,0.31,0.01,0.03
Short-Term Investments,0,0,0,0.1,0,-
Cash & Cash Equivalents,0.26,0.33,0.33,0.41,0.01,0.03
Cash Growth,5155.12%,1214.00%,-,-,-,-
Other Current Assets,0.16,0.22,0.23,0.25,0,-
Total Current Assets,0.42,0.55,0.57,0.65,0.01,-
Long-Term Investments,118.98,117.97,117.42,117.32,0,-
Other Long-Term Assets,0.08,0.08,0.13,0.18,0.14,-
Total Long-Term Assets,119.05,118.05,117.54,117.5,0.14,-
Total Assets,119.47,118.6,118.11,118.15,0.14,0.1
Accounts Payable,0.13,0.24,0.14,0.06,0,0
Current Debt,0.14,0.14,0.14,0.14,0.1,0.03
Other Current Liabilities,0.51,0.03,0.03,0.03,0.02,0.05
Total Current Liabilities,0.79,0.42,0.32,0.24,0.12,0.08
Other Long-Term Liabilities,3.45,3.45,3.45,3.45,0,0
Total Long-Term Liabilities,3.45,3.45,3.45,3.45,0,0
Total Liabilities,4.24,3.87,3.77,3.69,0.12,0.08
Total Debt,0.14,0.14,0.14,0.14,0.1,0.03
Debt Growth,43.16%,467.82%,-,-,-,-
Common Stock,0,0,0,0,0.03,0.03
Retained Earnings,-3.23,-3.1,-2.96,-2.83,-0,-0
Shareholders' Equity,-3.23,-3.09,-2.96,-2.83,0.02,0.02
Total Liabilities and Equity,1.01,0.78,0.81,0.85,0.14,0.1
Net Cash / Debt,0.12,0.18,0.19,0.26,-0.1,-0
Net Cash Per Share,0.01,0.01,0.01,0.10,-0.04,-0.00
Working Capital,-0.37,0.13,0.24,0.42,-0.11,-
Book Value Per Share,-0.22,-0.21,-0.21,-1.05,0.01,0.01
