Metrics,2023-04-26,2022-11-18,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,+49 Quarters
Cash & Equivalents,0,0,"237,427","229,860","224,843","218,223","175,423","142,896","126,831","185,594","130,649.06","110,652","127,897","131,824.1","143,309.43","116,815.47","91,739.38","46,441.21","56,659.2","36,152.37","33,333.04","50,221","61,166.25","28,312","28,438.54","19,911.48","30,834.66","17,471.83","10,875.47","11,590.05","16,959.21","14,477.44","14,687.98","14,238.2","12,560.35","9,665.47","8,249.09","9,113.93","8,345.02","7,296.7",Upgrade
Short-Term Investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.26,0.54,22.13,0,0,0,0,0.63,0,0.05,0.09,2.29,0.4,0,12.64,0,30.43,2.68,71.71,0.01,0.19,0,Upgrade
Cash & Cash Equivalents,0,0,"237,426.84","229,860","224,843","218,223","175,423","142,896","126,831","185,594","130,649.06","110,652","127,897","131,824.1","143,309.43","116,815.47","91,739.38","46,441.21","56,670.45","36,152.91","33,355.17","50,221","61,166.25","28,312","28,438.54","19,912.1","30,834.66","17,471.88","10,875.56","11,592.34","16,959.6","14,477.44","14,700.62","14,238.2","12,590.77","9,668.15","8,320.8","9,113.94","8,345.2","7,296.7",Upgrade
Cash Growth,-,-,35.35%,60.86%,77.28%,17.58%,34.27%,29.14%,-0.83%,40.79%,-8.83%,-5.28%,39.41%,183.85%,152.88%,223.11%,175.04%,-7.53%,-7.35%,27.69%,17.29%,152.21%,98.37%,62.04%,161.49%,71.77%,81.81%,20.68%,-26.02%,-18.58%,34.70%,49.74%,76.67%,56.22%,50.87%,32.50%,25.38%,45.31%,30.01%,5.71%,Upgrade
Receivables,0,0,"21,230.78",0,0,0,"10,393.29",0,0,0,"7,630.42",0,0,"2,726.65","2,408.52","1,938.43",824.11,343.88,"37,168.29","20,889.86","19,709.6","20,773","21,618.39","16,440","23,641.42","18,487.9","9,383.36","12,365.16","15,774.24","11,613.18","8,242.96","8,629.58","8,144.46","6,501.5","7,090.78","6,827.92","6,575.8","6,073.26","5,482.76","5,821.4",Upgrade
Other Current Assets,0,0,-0.16,0,0,0,0,"-142,896","-126,831","-185,594","-138,279.48","-110,652","-127,897","-134,550.76","-145,717.95","-118,753.9","-92,563.49","-46,785.09","-93,838.74","-57,042.77","-53,064.76","-70,994","-82,784.64","-44,752","-52,079.96","-38,400","-40,218.03","-29,837.03","-26,649.8","-23,205.52","-25,202.56","-23,107.02","-22,845.08","-20,739.7","-19,681.55","-16,496.07","-14,896.6","-15,187.2","-13,827.96","-13,118.1",Upgrade
Total Current Assets,0,0,"258,657.62","229,860","224,843","218,223","185,816.29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
"Property, Plant & Equipment",0,0,"62,196","57,239","53,251","49,027","43,731","39,589","37,091","35,228","32,963.99","13,890","13,924","14,047.8","19,362.59","10,522.49","10,033.82","9,901.13","4,854.94","4,511.88","4,374.75","7,098","3,991.49","6,131","3,200.03","2,794.05","2,785.41","2,499.49","1,972.58","1,898.6","1,905.47","1,656.91","1,591.63","3,178","1,584.23","1,436.52","1,383.21","1,335.22","1,345.16","2,254.3",Upgrade
Long-Term Investments,0,0,"591,816","553,961","466,327","323,751","272,725","281,042","276,450","148,140","95,297.36","134,441","198,240","138,493.6","99,568.28","61,063.43","47,391.9","41,653.65","38,799.44","32,248.66","29,762.42","25,644","13,753.76","23,406","29,856.1","30,166.92","15,576.82","17,115.58","19,711.71","15,180.48","10,061.95","11,025.68","10,379.84","6,862.4","4,077.28","5,493.49","3,882.09","2,605.42","3,703.24","5,128.3",Upgrade
Goodwill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,5.64,0,10.48,12.9,15.32,17.73,20.15,22.57,24.99,27.41,29.83,0,13.25,7.43,7.92,8.4,8.89,0,Upgrade
