Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.68,0.79,0.95,1.12,1.3,1.35,3.48,0
Cash & Cash Equivalents,0.68,0.79,0.95,1.12,1.3,1.35,3.48,0
Cash Growth,-47.80%,-41.57%,-72.73%,-,-,-,-,-
Other Current Assets,0.38,0.59,0.79,1,1.21,1.43,1.64,0.01
Total Current Assets,1.06,1.38,1.74,2.12,2.51,2.78,5.12,0.01
Long-Term Investments,147.46,146.2,145.47,145.53,145.21,145.2,145.73,0
Other Long-Term Assets,0,0,0,0,0,0,0,0.15
Total Long-Term Assets,147.46,146.2,145.47,145.53,145.21,145.2,145.73,0.15
Total Assets,148.52,147.58,147.21,147.65,147.73,147.98,150.85,0.16
Accounts Payable,0.44,0.26,0.15,0.13,0.08,0.04,1.79,0.11
Current Debt,0,0,0,0,0,0,0.05,0.02
Other Current Liabilities,0,0.01,0.06,0.08,0.13,0.24,0.32,0.03
Total Current Liabilities,0.44,0.27,0.21,0.22,0.22,0.28,2.15,0.15
Other Long-Term Liabilities,5.58,6.32,6.49,7.9,11.17,11.81,15.77,0
Total Long-Term Liabilities,5.58,6.32,6.49,7.9,11.17,11.81,15.77,0
Total Liabilities,6.01,6.59,6.7,8.12,11.39,12.09,17.92,0.15
Total Debt,0,0,0,0,0,0,0.05,0.02
Common Stock,0,0,0,0,0,0,0,0.03
Retained Earnings,-4.85,-5.11,-4.86,-5.65,-8.85,-9.3,-12.26,-0.02
Shareholders' Equity,-4.85,-5.11,-4.86,-5.65,-8.85,-9.3,-12.26,0.01
Total Liabilities and Equity,1.16,1.48,1.84,2.47,2.54,2.79,5.66,0.16
Net Cash / Debt,0.68,0.79,0.95,1.12,1.3,1.35,3.43,-0.02
Net Cash / Debt Growth,-47.80%,-41.57%,-72.37%,-,-,-,-,-
Net Cash Per Share,0.04,0.04,0.05,0.06,0.10,0.08,0.59,-0.01
Working Capital,0.62,1.11,1.53,1.9,2.3,2.49,2.97,-0.14
Book Value Per Share,-0.27,-0.28,-0.27,-0.32,-0.72,-0.52,-2.27,0.00
