Metrics,2023-03-31,2022-12-31,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,+58 Quarters
Cash & Equivalents,"118,002","87,251","126,030","131,374","108,007","127,781","121,331","112,703","112,230","111,081","118,971","63,819","55,005","54,936","52,171","45,631","53,230","38,276","24,452","17,894","19,671","55,145","21,458","69,701","61,222","59,512","12,233","55,148","17,657","73,155","63,576","97,028","31,194","71,736","13,072","72,450","13,365","17,957","15,390","14,316",Upgrade
Short-Term Investments,"33,834","30,982","29,941","29,007","29,797","29,847","32,127","32,775","34,839","36,065","37,648","36,082","32,789","33,135","29,327","31,210","28,844","28,635","9,737","73,135","14,816","88,545","10,603","86,724","85,896","90,026","12,365","92,639","29,031",0,0,0,"24,776",0,"25,016",0,0,0,"27,781",0,Upgrade
Cash & Cash Equivalents,"151,836","118,596","155,971","160,381","137,804","157,628","153,458","145,478","147,069","147,146","156,619","99,901","87,794","88,071","81,498","76,841","82,074","66,911","34,189","91,029","34,487","143,690","32,061","156,425","147,118","149,538","24,598","147,787","46,688","73,155","63,576","97,028","55,970","71,736","38,088","72,450","13,365","17,957","43,171","14,316",Upgrade
Cash Growth,10.18%,-24.76%,1.64%,10.24%,-6.30%,7.12%,-2.02%,45.62%,67.52%,67.08%,92.18%,30.01%,6.97%,31.62%,138.37%,-15.59%,137.99%,-53.43%,6.64%,-41.81%,-76.56%,-3.91%,30.34%,5.84%,215.11%,104.41%,-61.31%,52.31%,-16.58%,1.98%,66.92%,33.92%,318.78%,299.49%,-11.77%,406.08%,-35.73%,-8.83%,-18.47%,-30.92%,Upgrade
Receivables,0,"1,266",842,0,"1,352",0,679,0,"1,182",0,515,0,"1,058",0,392,0,"1,036",401,"5,670","6,090","6,874","7,080","7,267","6,962","7,225","7,418","7,692",0,"16,219","5,461","5,679","5,632","19,100","5,544","21,810","5,759","62,503","67,561","23,764","56,749",Upgrade
Other Current Assets,0,363,0,0,0,"-157,628","-154,137","-145,478","-148,251","-147,146","-157,134","-99,901","-88,852","-88,071","-81,890","-76,841","-83,110","-67,312","-39,859","-97,119","-41,361","-150,770","-39,328","-163,387","-154,343","-156,956","-32,290","-147,787","-62,907","-78,616","-69,255","-102,660","-75,070","-77,280","-59,898","-78,209","-75,868","-85,518","-66,935","-71,065",Upgrade
Total Current Assets,"151,836","119,862","156,813","160,381","139,156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
"Property, Plant & Equipment","2,477","2,446","2,562","2,540","2,515","2,555","2,631","2,724","2,841","2,987","3,086","3,119","3,172","3,100","2,825","2,920","1,659","1,775","1,801","1,938","2,002","1,972","2,027","2,007","2,021","2,088","2,100","2,111","2,674","2,689","2,746","2,840","2,886","6,159","6,132","6,115","6,160","6,099","6,119","6,179",Upgrade
Long-Term Investments,"220,121","103,029","215,723","205,241","109,406","204,076","202,345","202,330","104,456","197,677","199,131","202,437","98,668","199,397","193,146","198,012","94,861","227,443","103,047","224,724","113,852","249,266","125,990","235,415","236,613","253,030","138,504","234,228","325,636","453,002","436,346","484,341","361,389","482,574","395,586","514,074","519,025","235,045","350,306","459,169",Upgrade
Goodwill,0,464,464,0,472,0,0,0,533,0,562,0,907,0,0,0,918,958,816,868,903,980,985,955,"1,024","1,064","1,061",0,"1,966",0,"1,391",0,"1,794",0,"2,765",0,0,0,"3,071",0,Upgrade
