Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-11
Cash & Equivalents,0.07,0.23,0.3,0.4,0.61,0.02,0.01,0
Cash & Cash Equivalents,0.07,0.23,0.3,0.4,0.61,0.02,0.01,0
Cash Growth,-88.52%,1299.46%,2174.52%,-,-,-,-,-
Receivables,0,0,0,0,0,0,0,0
Other Current Assets,0.23,0.28,0.29,0.32,0.28,0.03,-,-
Total Current Assets,0.3,0.51,0.59,0.72,0.9,0.05,-,-
Long-Term Investments,234.36,232.62,231.54,231.19,231.15,0,-,-
Other Long-Term Assets,0,0,0.07,0.14,0.2,0.49,-,-
Total Long-Term Assets,234.36,232.62,231.61,231.33,231.35,0.49,-,-
Total Assets,234.67,233.13,232.21,232.05,232.25,0.53,0.22,0.11
Accounts Payable,0.03,0.02,0,0.03,0.02,0.03,0,0
Current Debt,0,0,0,0,0,0.17,0.14,0
Other Current Liabilities,0.99,0.85,0.71,0.56,0.38,0.32,0.07,0.09
Total Current Liabilities,1.02,0.87,0.71,0.59,0.4,0.52,0.21,0.09
Other Long-Term Liabilities,12.47,13.03,14.18,15.93,19.99,0,0,0
Total Long-Term Liabilities,12.47,13.03,14.18,15.93,19.99,0,0,0
Total Liabilities,13.5,13.9,14.89,16.52,20.39,0.52,0.21,0.09
Total Debt,0,0,0,0,0,0.17,0.14,0
Common Stock,0,0,0,-0.02,-0.02,0.03,0.03,0.03
Retained Earnings,-13.19,-13.38,-14.23,-15.64,-19.27,-0.02,-0.01,-0.01
Shareholders' Equity,-13.19,-13.38,-14.23,-15.66,-19.29,0.01,0.01,0.02
Total Liabilities and Equity,0.3,0.52,0.66,0.86,1.1,0.53,0.22,0.11
Net Cash / Debt,0.07,0.23,0.3,0.4,0.61,-0.15,-0.12,0
Net Cash / Debt Growth,-88.52%,-,-,-,-,-,-,-
Net Cash Per Share,0.00,0.01,0.01,0.01,0.05,-0.03,-0.02,-
Working Capital,-0.72,-0.35,-0.12,0.14,0.5,-0.48,-,-
Book Value Per Share,-0.46,-0.47,-0.49,-0.55,-1.74,0.00,0.00,-
