Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.65,0.8,0.92,1.33,1.8,0,-,12.11
Cash & Cash Equivalents,0.65,0.8,0.92,1.33,1.8,0,0,12.11
Cash Growth,-64.03%,2009032.50%,-,-89.04%,-,-,-,-
Other Current Assets,0.55,0.54,0.52,0.43,0.45,0,-,0
Total Current Assets,1.2,1.34,1.44,1.76,2.25,0,-,12.11
Long-Term Investments,309.26,306.66,305.2,304.99,304.98,0,-,0
Other Long-Term Assets,0,0.04,0.16,0.25,0.35,0.63,-,0.4
Total Long-Term Assets,309.26,306.69,305.36,305.24,305.34,0.63,-,0.4
Total Assets,310.46,308.04,306.81,307,307.59,0.63,-,12.51
Accounts Payable,0.04,0.01,0.03,0.16,0.44,0.27,-,12.26
Other Current Liabilities,1.34,0.74,0.5,0.4,0.31,0.38,-,0.27
Total Current Liabilities,1.38,0.75,0.53,0.56,0.75,0.66,-,12.53
Other Long-Term Liabilities,15.37,14.58,16.15,22.73,34.24,0,-,0
Total Long-Term Liabilities,15.37,14.58,16.15,22.73,34.24,0,-,0
Total Liabilities,16.75,15.33,16.67,23.29,35,0.66,-,12.53
Common Stock,0,0,0,0,0,0.03,-,0.03
Retained Earnings,-14.5,-13.39,-14.85,-21.27,-32.39,-0.05,-,-0.05
Shareholders' Equity,-14.5,-13.39,-14.85,-21.27,-32.39,-0.03,-,-0.03
Total Liabilities and Equity,2.25,1.94,1.83,2.02,2.61,0.63,-,12.51
Net Cash / Debt,0.65,0.8,0.92,1.33,1.8,0,0,12.11
Net Cash / Debt Growth,-64.03%,2009032.50%,-,-89.04%,-,-,-,-
Net Cash Per Share,0.02,0.02,0.02,0.04,0.17,0.00,-,2.15
Working Capital,-0.18,0.59,0.92,1.2,1.5,-0.66,-,-0.42
Book Value Per Share,-0.39,-0.36,-0.40,-0.57,-3.02,-0.00,-,-0.01
