Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Cash & Equivalents,0.85,1.05,1.23,1.32,1.6,0
Cash & Cash Equivalents,0.85,1.05,1.23,1.32,1.6,0
Cash Growth,-46.65%,52026.39%,-,-,-,-
Other Current Assets,0.34,0.62,0.9,1.01,1.02,0
Total Current Assets,1.19,1.67,2.13,2.33,2.62,0
Long-Term Investments,241.49,239.15,237.16,236.09,235.77,0
Other Long-Term Assets,0,0,0,0.18,0.43,0.43
Total Long-Term Assets,241.49,239.15,237.16,236.27,236.2,0.43
Total Assets,242.68,240.82,239.29,238.61,238.82,0.43
Accounts Payable,0.37,0.25,0.42,0.11,0.02,0.01
Current Debt,0,0,0,0,0,0.19
Other Current Liabilities,1.33,0.91,0.26,0,0,0.31
Total Current Liabilities,1.7,1.16,0.69,0.11,0.02,0.5
Other Long-Term Liabilities,8.3,8.28,8.26,8.46,8.41,0
Total Long-Term Liabilities,8.3,8.28,8.26,8.46,8.41,0
Total Liabilities,10,9.44,8.95,8.56,8.42,0.5
Total Debt,0,0,0,0,0,0.19
Common Stock,0.59,0.45,0.3,0.15,0,0.03
Retained Earnings,-8.07,-7.3,-6.7,-6.1,-5.35,-0.09
Shareholders' Equity,-7.48,-6.86,-6.41,-5.95,-5.35,-0.07
Total Liabilities and Equity,2.52,2.58,2.54,2.62,3.07,0.43
Net Cash / Debt,0.85,1.05,1.23,1.32,1.6,-0.19
Net Cash / Debt Growth,-46.65%,-,-,-,-,-
Net Cash Per Share,0.03,0.04,0.04,0.05,0.07,-0.04
Working Capital,-0.51,0.52,1.44,2.23,2.6,-0.5
Book Value Per Share,-0.26,-0.24,-0.22,-0.21,-0.24,-0.01
