Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.12,0.26,0.36,0.63,0.01,0.03
Cash & Cash Equivalents,0.12,0.26,0.36,0.63,0.01,0.03
Cash Growth,1156.23%,852.24%,-,-,-,-
Other Current Assets,0.17,0.27,0.36,0.35,0,0
Total Current Assets,0.28,0.52,0.72,0.98,0.01,0.03
Long-Term Investments,117.85,116.85,116.32,116.16,0,0
Other Long-Term Assets,0,0,0.02,0.09,0.93,0.54
Total Long-Term Assets,117.85,116.85,116.34,116.25,0.93,0.54
Total Assets,118.13,117.37,117.06,117.23,0.94,0.56
Accounts Payable,0.17,0.22,0.25,0.6,0.78,0.5
Current Debt,0,0,0,0,0.15,0
Other Current Liabilities,0,0,0,0,0,0.05
Total Current Liabilities,0.17,0.22,0.25,0.6,0.93,0.55
Other Long-Term Liabilities,117.85,116.85,116.33,116.15,0,0
Total Long-Term Liabilities,117.85,116.85,116.33,116.15,0,0
Total Liabilities,118.02,117.07,116.58,116.75,0.93,0.55
Total Debt,0,0,0,0,0.15,0
Common Stock,0.99,0.99,0.99,0.86,0.03,0.03
Retained Earnings,-0.87,-0.69,-0.5,-0.37,-0.01,-0.01
Shareholders' Equity,0.12,0.3,0.48,0.48,0.02,0.02
Total Liabilities and Equity,118.13,117.37,117.06,117.23,0.94,0.56
Net Cash / Debt,0.12,0.26,0.36,0.63,-0.14,0.03
Net Cash / Debt Growth,-,852.24%,-,-,-,-
Net Cash Per Share,0.01,0.02,0.02,0.06,-,0.01
Working Capital,0.12,0.3,0.47,0.39,-0.92,-0.52
Book Value Per Share,0.01,0.02,0.03,0.04,0.01,0.01
