Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+38 Quarters
Cash & Equivalents,633.59,"1,860.15","1,621.2","1,524.53","1,493.39","2,082.47","1,800.07","1,594.19","1,589.79","1,434.36","1,151.01",937.13,834.88,"1,274.87",999.28,958.98,"1,050.66","1,284.92","1,170.38",882.26,"1,000.92","1,519.38","1,289.38",990.12,925.14,"1,187.82",889.06,679.98,735.36,"1,167.03",894.84,734.9,653.04,"1,109.87",865.29,752.15,731.05,903.53,747.91,662.25,Upgrade
Cash & Cash Equivalents,633.59,"1,860.15","1,621.2","1,524.53","1,493.39","2,082.47","1,800.07","1,594.19","1,589.79","1,434.36","1,151.01",937.13,834.88,"1,274.87",999.28,958.98,"1,050.66","1,284.92","1,170.38",882.26,"1,000.92","1,519.38","1,289.38",990.12,925.14,"1,187.82",889.06,679.98,735.36,"1,167.03",894.84,734.9,653.04,"1,109.87",865.29,752.15,731.05,903.53,747.91,662.25,Upgrade
Cash Growth,-57.57%,-10.68%,-9.94%,-4.37%,-6.06%,45.18%,56.39%,70.11%,90.42%,12.51%,15.18%,-2.28%,-20.54%,-0.78%,-14.62%,8.70%,4.97%,-15.43%,-9.23%,-10.89%,8.19%,27.91%,45.03%,45.61%,25.81%,1.78%,-0.65%,-7.47%,12.61%,5.15%,3.41%,-2.29%,-10.67%,22.84%,15.70%,13.57%,13.06%,-1.30%,-16.42%,-20.21%,Upgrade
Receivables,0,0,740.4,739.7,816.64,805.81,700.14,818.8,739.62,743.14,575.1,652.11,588.65,663.14,668.17,705.11,695.41,685.53,640.79,714.4,674.69,571.62,551.89,654.74,527.61,638.28,537.7,495.32,514.52,497.21,502.41,501.53,593.84,557.6,507.92,544.33,523.08,512.68,536.15,524.91,Upgrade
"Property, Plant & Equipment",674.54,681.68,638.56,666.95,701.6,716.06,716.12,731.24,742.63,771.51,751.06,753.81,753.57,771.35,775.69,683.89,698.72,212.95,214.28,216.18,213.92,205.3,200.8,200.3,206.14,209.02,204.3,201.93,206.86,207.17,209.81,213.75,209.21,222.57,227.36,236.29,242.98,248.8,249.78,241.95,Upgrade
Goodwill and Intangibles,394.26,377.33,375.89,378,379.62,379.57,379.85,380.87,381.95,384.07,373.84,369.16,357.25,373.59,369,374.44,375.68,375.32,379.24,382.36,388.33,391.36,392.07,389.22,387.91,382.02,353.85,328.18,332.62,326.98,325.62,335.97,335.97,347.44,356.25,368.54,366.92,363.88,376.4,375.21,Upgrade
Total Assets,"4,567.52","5,852.56","6,207.93","6,711.8","6,848.35","7,147.18","6,726.58","6,406.8","6,209.56","5,971.86","5,467","5,312.12","5,095.12","5,639.58","5,551.88","5,507.47","5,499.48","4,997.24","4,944.78","4,627.99","4,485.1","4,928.68","4,836.39","4,769.76","4,385.26","4,556.51","4,302.3","4,215.62","4,011.59","4,477.77","4,148.04","4,151.94","2,827.73","3,332.24","3,042.89","3,079.48","2,898.2","3,011.14","2,956.46","2,921.23",Upgrade
Accounts Payable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.54,0,11.95,62.77,2.58,5.03,4.7,4.76,Upgrade
Total Liabilities,"3,969.64","4,593.69","4,952.11","5,309.13","5,303.72","5,494.22","5,173.87","4,899.95","4,767.86","4,972.43","4,688.3","4,628.15","4,535.51","4,958.01","4,865.66","4,789.6","4,728.11","4,027.15","3,823.19","3,514.89","3,428.91","3,669.77","3,467.91","3,467.05","3,172.07","3,262.7","3,001.16","3,011.28","2,788.84","3,110.47","2,936.16","3,282.57","2,290.43","2,562.18","2,405.23","2,512.78","2,342.56","2,381.14","2,299.4","2,329.02",Upgrade
Total Debt,"2,198.1","2,201.4","2,189.3","2,206.5","2,222.76","2,237.75","2,239.51","2,251.71","2,265.54","2,289.7","2,291.34","2,299.21","2,304.13","2,323.91","2,331.6","2,233.46","2,327.41","1,434.26","1,433.7","1,191.28","1,190.83","1,190.38","1,189.94","1,189.49","1,195.96","1,188.6",998.53,998.5,998.75,998.39,"1,008.04","1,008.44","1,008.53","1,060.37","1,061.24","1,062.88","1,063.6","1,064.18","1,092.94","1,093.02",Upgrade
Debt Growth,-1.11%,-1.62%,-2.24%,-2.01%,-1.89%,-2.27%,-2.26%,-2.07%,-1.67%,-1.47%,-1.73%,2.94%,-1.00%,62.03%,62.63%,87.48%,95.44%,20.49%,20.49%,0.15%,-0.43%,0.15%,19.17%,19.13%,19.75%,19.05%,-0.94%,-0.99%,-0.97%,-5.85%,-5.01%,-5.12%,-5.18%,-0.36%,-2.90%,-2.76%,-2.71%,-2.79%,-0.19%,-0.19%,Upgrade
