Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-05
Cash & Equivalents,0.07,0.31,0.31,0.07,0.33,0.03,-,0.03
Cash & Cash Equivalents,0.07,0.31,0.31,0.07,0.33,0.03,0,0.03
Cash Growth,-79.16%,859.15%,-,186.42%,-,-,-,-
Other Current Assets,0.56,0.43,0.49,0.43,0.43,0,-,0
Total Current Assets,0.63,0.74,0.8,0.5,0.76,0.03,-,0.03
Long-Term Investments,266.82,265.22,264.1,264.08,263.94,0,-,0
Other Long-Term Assets,0,0.06,0.16,0.27,0.39,0.46,-,0.22
Total Long-Term Assets,266.82,265.28,264.26,264.34,264.32,0.46,-,0.22
Total Assets,267.45,266.02,265.06,264.84,265.08,0.49,-,0.24
Accounts Payable,0.03,0.16,0.12,0.18,0.06,0,-,0
Current Debt,0.08,0.3,0.41,0,0,0.43,-,0
Other Current Liabilities,0.07,0.09,0.04,0.05,0.09,0.05,-,0.22
Total Current Liabilities,0.18,0.54,0.57,0.23,0.15,0.48,-,0.22
Other Long-Term Liabilities,9.3,9.2,9.06,9.06,9.06,0,-,0
Total Long-Term Liabilities,9.3,9.2,9.06,9.06,9.06,0,-,0
Total Liabilities,9.47,9.74,9.62,9.29,9.21,0.48,-,0.22
Total Debt,0.08,0.3,0.41,0,0,0.43,-,0
Debt Growth,-,-29.64%,-,-,-,-,-,-
Common Stock,0.12,0.12,0.04,0,0,0.03,-,0.03
Retained Earnings,-8.74,-8.85,-8.56,-8.37,-8.05,-0.01,-,-0
Shareholders' Equity,-8.62,-8.72,-8.53,-8.37,-8.05,0.01,-,0.02
Total Liabilities and Equity,0.86,1.02,1.1,0.92,1.15,0.49,-,0.24
Net Cash / Debt,-0.01,0.01,-0.1,0.07,0.33,-0.39,0,0.03
Net Cash / Debt Growth,-,-,-,186.42%,-,-,-,-
Net Cash Per Share,-0.00,0.00,-0.00,0.00,0.03,-0.01,-,0.00
Working Capital,0.45,0.2,0.23,0.26,0.6,-0.44,-,-0.19
Book Value Per Share,-0.27,-0.27,-0.26,-0.26,-0.81,-,-,0.00
