Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+47 Quarters
Cash & Equivalents,"8,174","8,576","9,164","7,542","8,609","9,294","8,238","8,022","9,005","11,809","11,793","12,685","11,725","8,358","6,274","6,752","6,901","7,762","7,905","7,202","7,855","7,018","6,585","6,170","6,990","7,712","6,202","6,112","5,831","6,642","4,748","4,361","5,160","6,087","5,415","3,796","4,932","4,510","4,291","3,188",Upgrade
Short-Term Investments,402,400,412,438,449,473,510,544,489,483,400,390,477,688,751,809,"1,317","1,696","1,622","1,535","1,378","1,849","1,864","1,782","1,654","1,614","1,774","1,271","1,314",991,"1,232","1,716","1,589","1,238","1,857","2,836","2,543","2,696","2,594","2,742",Upgrade
Cash & Cash Equivalents,"8,576","8,976","9,576","7,980","9,058","9,767","8,748","8,566","9,494","12,292","12,193","13,075","12,202","9,046","7,025","7,561","8,218","9,458","9,527","8,737","9,233","8,867","8,449","7,952","8,644","9,326","7,976","7,383","7,145","7,633","5,980","6,077","6,749","7,325","7,272","6,632","7,475","7,206","6,885","5,930",Upgrade
Cash Growth,-5.32%,-8.10%,9.47%,-6.84%,-4.59%,-20.54%,-28.25%,-34.49%,-22.19%,35.88%,73.57%,72.93%,48.48%,-4.36%,-26.26%,-13.46%,-10.99%,6.67%,12.76%,9.87%,6.81%,-4.92%,5.93%,7.71%,20.98%,22.18%,33.38%,21.49%,5.87%,4.20%,-17.77%,-8.37%,-9.71%,1.65%,5.62%,11.84%,28.17%,24.67%,7.34%,4.36%,Upgrade
Receivables,"3,511","3,425","3,167","3,175","2,889","3,006","2,820","2,773","2,648","2,646","2,357","2,147","2,441","2,514","2,500","2,607","2,577","2,276","2,277","2,164","2,122","1,969","1,858","1,708","1,553","1,416","1,298","1,203","1,186","1,079","1,081","1,128","1,072","1,109","1,071","1,134",995,966,990,949,Upgrade
Other Current Assets,"4,333","4,205","4,080","4,056","4,006","4,176","3,814","3,740","4,263","4,175","3,919","4,159","3,480","5,342","5,322","3,997","3,601","4,437","3,260","3,404","3,352","2,961","2,924","2,882","2,688","2,486","2,502","2,412","2,275","2,272","2,564","3,012","2,527","2,563","2,613","2,811","2,872","2,778","2,684","2,083",Upgrade
Total Current Assets,"16,420","16,606","16,823","15,211","15,953","16,949","15,382","15,079","16,405","19,113","18,469","19,381","18,123","16,902","14,847","14,165","14,396","16,171","15,064","14,305","14,707","13,797","13,231","12,542","12,885","13,228","11,776","10,998","10,606","10,984","9,625","10,217","10,348","10,997","10,956","10,577","11,342","10,950","10,559","8,962",Upgrade
"Property, Plant & Equipment","2,006","2,006","1,951","1,950","1,957","1,907","1,860","1,839","1,850","1,902","1,887","1,872","1,901","1,828","1,492","1,348","1,305",921,876,860,839,829,901,845,748,733,698,680,669,675,641,632,602,615,553,539,528,526,474,471,Upgrade
Goodwill and Intangibles,"11,602","11,381","10,758","11,195","11,300","11,333","11,130","11,274","10,372","6,713","5,666","5,561","5,517","5,438","5,034","4,756","3,969","3,895","3,973","4,017","4,222","4,155","4,162","3,885","2,477","2,478","2,561","2,596","2,674","2,694","2,727","2,802","2,117","2,236","2,161","2,286","2,009","1,794","1,756","1,687",Upgrade
Other Long-Term Assets,"8,908","8,731","8,080","7,875","7,953","7,480","7,038","6,719","6,173","5,856","5,572","5,313","5,107","5,068","4,608","4,462","3,850","3,873","3,427","3,289","3,176","2,548","2,620","2,567","2,460","2,236","2,288","2,008","1,956","1,897","1,641","1,621","1,566","1,481",989,973,923,972,941,901,Upgrade
