Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+62 Quarters
Cash & Equivalents,420.74,755.17,766.55,760.2,"1,110.94","1,151.79","1,269.94","1,220.32",911.89,783.74,533,460.01,207.2,272.45,370.44,230.88,143.99,171.28,183.18,144.52,130.85,161.47,159.89,145.27,113.75,89.82,57.75,124.93,94.6,201.48,143.75,161.57,154.08,149.46,119.54,150.47,159.78,181.89,238.86,182.45,Upgrade
Cash & Cash Equivalents,420.74,755.17,766.55,760.2,"1,110.94","1,151.79","1,269.94","1,220.32",911.89,783.74,533,460.01,207.2,272.45,370.44,230.88,143.99,171.28,183.18,144.52,130.85,161.47,159.89,145.27,113.75,89.82,57.75,124.93,94.6,201.48,143.75,161.57,154.08,149.46,119.54,150.47,159.78,181.89,238.86,182.45,Upgrade
Cash Growth,-62.13%,-34.43%,-39.64%,-37.70%,21.83%,46.96%,138.26%,165.28%,340.11%,187.66%,43.88%,99.24%,43.90%,59.06%,102.23%,59.76%,10.04%,6.08%,14.56%,-0.51%,15.04%,79.77%,176.86%,16.28%,20.24%,-55.42%,-59.83%,-22.68%,-38.60%,34.81%,20.26%,7.38%,-3.57%,-17.83%,-49.95%,-17.53%,-8.34%,-19.64%,1.97%,-25.34%,Upgrade
"Property, Plant & Equipment",40.25,40.31,40.67,41.09,41.41,41.77,42.34,42.91,43.11,43.25,43.73,43.05,43.46,43.42,43.96,44.42,44.81,44.86,45.63,45.91,46.11,46.63,46.82,48.63,49.83,50.03,50.17,50.64,50.94,51.46,51.73,52.13,52.51,52.89,53.29,53.31,53.62,53.64,52.92,53.3,Upgrade
Total Assets,"2,637.15","2,906.92","2,835.04","2,781.21","2,929.88","2,928.75","2,901.5","2,941.09","2,734.34","2,642.03","2,508.72","2,451.15","2,031.09","2,068.77","2,144.5","1,978.41","1,925.88","1,975.12","1,919.27","1,872.54","1,863.78","1,890.23","1,803.05","1,759.06","1,748.85","1,741.01","1,653.69","1,666.55","1,639.99","1,729.64","1,659.34","1,618.01","1,610.21","1,583.85","1,489.66","1,491.14","1,490.9","1,517.41","1,562.68","1,476.83",Upgrade
Total Liabilities,"2,376.59","2,659.88","2,598.48","2,538.1","2,684.28","2,674.75","2,649.29","2,692.87","2,491.96","2,402.18","2,274.85","2,221.81","1,807.51","1,851.3","1,932.71","1,772.89","1,727.91","1,784.27","1,735.3","1,692.83","1,688.4","1,717.25","1,629.58","1,588.89","1,582.71","1,578.77","1,491.44","1,508.09","1,484.74","1,577.67","1,509.61","1,471.17","1,464.63","1,441.33","1,349.2","1,353.05","1,355.71","1,384.88","1,427.17","1,343.58",Upgrade
Total Debt,30,30,30,30,85,85,85,80.62,90.62,90.62,90.62,90.62,90.62,80.62,101.24,101.24,101.24,101.24,111.24,106.91,121.91,133.36,113.36,124.02,144.02,125.41,125.41,146.08,136.08,137.41,137.41,138.07,138.07,129.35,129.35,130.01,130.01,131.23,131.23,133.55,Upgrade
Debt Growth,-64.71%,-64.71%,-64.71%,-62.79%,-6.20%,-6.20%,-6.20%,-11.04%,-,12.40%,-10.49%,-10.49%,-10.49%,-20.37%,-8.99%,-5.30%,-16.95%,-24.08%,-1.87%,-13.80%,-15.36%,6.34%,-9.61%,-15.10%,5.84%,-8.73%,-8.73%,5.80%,-1.45%,6.23%,6.23%,6.20%,6.20%,-1.44%,-1.44%,-2.65%,-2.65%,-2.58%,-2.58%,-21.62%,Upgrade
Common Stock,219.73,219.58,219.58,219.46,219.27,219.08,218.99,218.85,218.69,218.53,218.45,218.35,218.21,218.11,218.05,217.94,217.84,217.78,217.79,217.68,217.57,217.08,217.1,216.96,216.85,216.73,216.92,216.8,216.69,216.54,216.54,216.42,216.58,216.46,216.39,216.31,216.23,216.26,220.98,220.94,Upgrade
Retained Earnings,67.09,59.04,49.65,42.33,38.49,35.22,31.73,27.25,22.16,17.1,10.83,6.43,1.51,-2.18,-7.98,-13.76,-19.38,-24.65,-29.32,-34.15,-38.84,-42.8,-43.31,-46.49,-49.91,-53.01,-56.11,-59.7,-62.43,-64.91,-67.44,-69.63,-71.84,-74,-75.66,-77.75,-79.82,-81.79,-84.02,-86.26,Upgrade
