Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-21
Cash & Equivalents,0.41,0.21,0.05,0.2,0.26,0.44,0,0
Cash & Cash Equivalents,0.41,0.21,0.05,0.2,0.26,0.44,0,0
Cash Growth,53.82%,-52.76%,1035.43%,-,-,-,-,-
Other Current Assets,0.23,0.34,0.39,0.4,0.37,0.38,0,-
Total Current Assets,0.64,0.55,0.44,0.61,0.64,0.82,0,-
Long-Term Investments,10.3,130.17,128.58,128.41,128.4,128.4,0,-
Other Long-Term Assets,0,0,0.06,0.14,0.23,0.32,0.23,-
Total Long-Term Assets,10.3,130.17,128.63,128.55,128.63,128.72,0.23,-
Total Assets,10.94,130.71,129.07,129.16,129.27,129.54,0.24,0.09
Accounts Payable,0,0,0,0,0.01,0.01,0,0
Current Debt,2.21,1.77,0.34,0.34,0,0,0.03,0
Other Current Liabilities,1.24,0.76,0.27,0.17,0.25,0.06,0.18,0.07
Total Current Liabilities,3.46,2.52,0.6,0.51,0.26,0.07,0.21,0.07
Other Long-Term Liabilities,5.77,6.25,5.96,8.11,12.43,19.91,0,0
Total Long-Term Liabilities,5.77,6.25,5.96,8.11,12.43,19.91,0,0
Total Liabilities,9.23,8.77,6.56,8.61,12.7,19.98,0.21,0.07
Total Debt,2.21,1.77,0.34,0.34,0,0,0.03,0
Debt Growth,-,-,878.68%,-,-,-,-,-
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-8.29,-8.06,-5.89,-7.85,-11.83,-18.84,-0,-0
Shareholders' Equity,-8.29,-8.06,-5.89,-7.85,-11.83,-18.84,0.02,0.02
Total Liabilities and Equity,0.94,0.71,0.67,0.76,0.87,1.14,0.24,0.09
Net Cash / Debt,-1.81,-1.56,-0.28,-0.13,0.26,0.44,-0.03,0
Net Cash Per Share,-0.36,-0.10,-0.02,-0.01,0.04,0.06,-0.01,-
Working Capital,-2.82,-1.98,-0.17,0.1,0.37,0.76,-0.21,-
Book Value Per Share,-1.64,-0.51,-0.37,-0.49,-1.57,-2.56,0.01,0.01
