Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.32,0.47,0.63,0.71,0.99,2.51,0,-,0
Cash & Cash Equivalents,0.32,0.47,0.63,0.71,0.99,2.51,0,0,0
Cash Growth,-67.67%,-81.30%,-,-,-,-,-,-,-
Other Current Assets,0.28,0.38,0.47,0.56,0.66,0,-,-,-
Total Current Assets,0.6,0.84,1.1,1.27,1.64,2.51,-,-,-
Long-Term Investments,290.47,284.84,283.14,281.94,281.55,281.52,-,-,-
Total Long-Term Assets,290.47,284.84,283.14,281.94,281.55,281.52,-,-,-
Total Assets,291.07,285.68,284.23,283.21,283.19,284.03,0.74,-,0.03
Accounts Payable,0.3,0.25,0.23,0.22,0.22,0.83,0.13,-,0
Current Debt,2.76,0,0,0,0,0,0.14,-,0
Other Current Liabilities,0.72,0.09,0.22,0,0,0,0.58,-,0
Total Current Liabilities,3.77,0.33,0.46,0.22,0.22,0.83,0.85,-,0
Other Long-Term Liabilities,4.72,11.13,10.28,10.28,10.28,10.28,0,-,0
Total Long-Term Liabilities,4.72,11.13,10.28,10.28,10.28,10.28,0,-,0
Total Liabilities,8.49,11.46,10.73,10.5,10.5,11.11,0.85,-,0
Total Debt,2.76,0,0,0,0,0,0.14,-,0
Common Stock,0,0,0,0,0,0,0.03,-,0.03
Retained Earnings,-6.87,-10.26,-8.02,-8.81,-8.83,-8.6,-0.13,-,-0
Shareholders' Equity,-6.87,-10.26,-8.02,-8.81,-8.83,-8.6,-0.11,-,0.02
Total Liabilities and Equity,1.62,1.21,2.71,1.69,1.67,2.51,0.74,-,0.03
Net Cash / Debt,-2.44,0.47,0.63,0.71,0.99,2.51,-0.14,0,0
Net Cash / Debt Growth,-,-81.30%,-,-,-,-,-,-,-
Net Cash Per Share,-0.07,0.01,0.02,0.02,0.03,0.22,-0.02,-,-
Working Capital,-3.17,0.51,0.64,1.05,1.42,1.68,-,-,-
Book Value Per Share,-0.20,-0.30,-0.23,-0.26,-0.26,-0.75,-0.02,-,0.00
