Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-09
Cash & Equivalents,0.04,0.07,0.19,0.04,0.32,0.49,0,-,0
Cash & Cash Equivalents,0.04,0.07,0.19,0.04,0.32,0.49,0,0,0
Cash Growth,-87.58%,-86.59%,-,-,-,-,-,-,-
Other Current Assets,0.29,0.5,0.57,0.8,0.86,0.87,0,-,0
Total Current Assets,0.33,0.57,0.75,0.84,1.18,1.36,0,-,0
Long-Term Investments,288.63,285.58,283.18,281.93,281.55,281.52,0,-,0
Other Long-Term Assets,0,0,0,0,0.11,0.32,0.44,-,0.09
Total Long-Term Assets,288.63,285.58,283.18,281.93,281.66,281.85,0.44,-,0.09
Total Assets,288.96,286.15,283.94,282.77,282.84,283.21,0.44,-,0.09
Accounts Payable,0.16,0.14,0.1,0.19,0.22,0.04,0,-,0
Current Debt,0.45,0.4,0.4,0,0,0,0.2,-,0
Other Current Liabilities,0.49,0.36,0.35,0.3,0.29,0.34,0.3,-,0.07
Total Current Liabilities,1.1,0.9,0.85,0.49,0.5,0.38,0.5,-,0.07
Other Long-Term Liabilities,9.66,9.66,9.66,9.66,9.66,9.66,0,-,0
Total Long-Term Liabilities,9.66,9.66,9.66,9.66,9.66,9.66,0,-,0
Total Liabilities,10.76,10.56,10.51,10.15,10.16,10.04,0.5,-,0.07
Total Debt,0.45,0.4,0.4,0,0,0,0.2,-,0
Debt Growth,-,-,101.03%,-,-,-,-,-,-
Common Stock,0,0,0,0,0,0,0.03,-,0.03
Retained Earnings,-10.33,-9.89,-9.66,-9.21,-8.85,-8.36,-0.08,-,-0.01
Shareholders' Equity,-10.33,-9.89,-9.66,-9.21,-8.85,-8.36,-0.06,-,0.02
Total Liabilities and Equity,0.43,0.67,0.85,0.94,1.32,1.69,0.44,-,0.09
Net Cash / Debt,-0.41,-0.33,-0.21,0.04,0.32,0.49,-0.2,0,0
Net Cash Per Share,-0.01,-0.01,-0.01,0.00,0.01,0.05,-0.03,-,-
Working Capital,-0.77,-0.33,-0.1,0.35,0.67,0.98,-0.5,-,-0.07
Book Value Per Share,-0.30,-0.29,-0.28,-0.27,-0.26,-0.86,-0.01,-,-
