Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-22
Cash & Equivalents,0.34,0.53,0.77,0.88,1.08,0,0,-,0
Cash & Cash Equivalents,0.34,0.53,0.77,0.88,1.08,0,0,0,0
Cash Growth,-68.59%,96409.80%,-,-,-,-,-,-,-
Other Current Assets,0.41,0.3,0.33,0.36,0.33,0,-,-,-
Total Current Assets,0.75,0.83,1.1,1.24,1.41,0,-,-,-
Long-Term Investments,257.91,256.46,255.22,255.02,254.99,0,-,-,-
Other Long-Term Assets,0,0.02,0.09,0.16,0.24,0.72,-,-,-
Total Long-Term Assets,257.91,256.48,255.32,255.18,255.23,0.72,-,-,-
Total Assets,258.66,257.31,256.42,256.42,256.64,0.73,0.48,-,0.06
Current Debt,0,0,0,0,0,0.17,0.13,-,0.01
Other Current Liabilities,1.14,1.29,1.14,1,0.9,0.55,0.33,-,0.03
Total Current Liabilities,1.14,1.29,1.14,1,0.9,0.72,0.45,-,0.04
Other Long-Term Liabilities,8.9,8.66,8.75,8.75,8.75,0,0,-,0
Total Long-Term Liabilities,8.9,8.66,8.75,8.75,8.75,0,0,-,0
Total Liabilities,10.04,9.95,9.89,9.75,9.65,0.72,0.45,-,0.04
Total Debt,0,0,0,0,0,0.17,0.13,-,0.01
Common Stock,0,0,0,0,0,0.03,0.03,-,0.03
Retained Earnings,-8.95,-8.67,-8.47,-8.34,-8.02,-0.02,-0,-,-0
Shareholders' Equity,-8.95,-8.67,-8.47,-8.34,-8.01,0,0.02,-,0.02
Total Liabilities and Equity,1.09,1.28,1.42,1.42,1.64,0.73,0.48,-,0.06
Net Cash / Debt,0.34,0.53,0.77,0.88,1.08,-0.17,-0.13,0,-0.01
Net Cash / Debt Growth,-68.59%,-,-,-,-,-,-,-,-
Net Cash Per Share,0.01,0.02,0.02,0.03,0.11,-0.03,-0.02,-,-
Working Capital,-0.39,-0.46,-0.04,0.23,0.51,-0.72,-,-,-
Book Value Per Share,-0.29,-0.28,-0.27,-0.27,-0.85,0.00,0.00,-,-
