Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-22
Cash & Equivalents,0.19,0.37,0.48,0.51,0.74,0,-,0
Cash & Cash Equivalents,0.19,0.37,0.48,0.51,0.74,0,0,0
Cash Growth,-73.90%,-,-,-,-,-,-,-
Receivables,0,0,0,0.03,0.03,0,-,0
Other Current Assets,0.32,0.33,0.35,0.38,0.33,-,-,-
Total Current Assets,0.51,0.71,0.83,0.91,1.1,-,-,-
Long-Term Investments,194.22,193.02,191.88,191.73,191.65,-,-,-
Other Long-Term Assets,0,0.07,0.15,0.23,0.31,-,-,-
Total Long-Term Assets,194.22,193.09,192.03,191.96,191.96,-,-,-
Total Assets,194.74,193.79,192.86,192.87,193.06,0.19,-,0.03
Accounts Payable,0.03,0.01,0.01,0,0,0,-,0
Current Debt,0,0,0,0,0,0.14,-,0
Other Current Liabilities,0.91,0.39,0.16,0.09,0.1,0.03,-,0
Total Current Liabilities,0.94,0.4,0.16,0.09,0.11,0.17,-,0
Other Long-Term Liabilities,0.89,0.97,2.04,3.34,7.22,0,-,0
Total Long-Term Liabilities,0.89,0.97,2.04,3.34,7.22,0,-,0
Total Liabilities,1.83,1.37,2.2,3.42,7.32,0.17,-,0
Total Debt,0,0,0,0,0,0.14,-,0
Common Stock,0,0,0,0,0,0.03,-,0.03
Retained Earnings,-0.62,-0.37,-1.12,-2.2,-5.91,-0,-,-0
Shareholders' Equity,-0.62,-0.37,-1.12,-2.2,-5.91,0.02,-,0.02
Total Liabilities and Equity,1.21,1,1.08,1.22,1.41,0.19,-,0.03
Net Cash / Debt,0.19,0.37,0.48,0.51,0.74,-0.14,0,0
Net Cash / Debt Growth,-73.90%,-,-,-,-,-,-,-
Net Cash Per Share,0.04,0.07,0.09,0.10,0.17,-0.03,-,-
Working Capital,-0.42,0.31,0.67,0.83,0.99,-,-,-
Book Value Per Share,-0.12,-0.07,-0.22,-0.42,-1.40,0.01,-,-
