Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-03
Cash & Equivalents,0.41,0.47,0.62,0.66,1.37,0,-,0
Cash & Cash Equivalents,0.41,0.47,0.62,0.66,1.37,0,0,0
Cash Growth,-69.99%,-,-,-,-,-,-,-
Other Current Assets,0.17,0.28,0.38,0.43,0.09,-,-,-
Total Current Assets,0.58,0.74,1,1.09,1.45,-,-,-
Long-Term Investments,206.89,205.18,204.28,204.01,204,-,-,-
Other Long-Term Assets,0,0,0,0.08,0,-,-,-
Total Long-Term Assets,206.89,205.18,204.28,204.09,204,-,-,-
Total Assets,207.47,205.93,205.29,205.18,205.45,0.73,-,0.19
Accounts Payable,0.04,0,0.04,0.03,0.01,0,-,0
Current Debt,0,0,0,0,0,0.1,-,0
Other Current Liabilities,0.19,0.1,0.14,0.13,0.25,0.63,-,0.19
Total Current Liabilities,0.23,0.1,0.18,0.16,0.26,0.74,-,0.19
Other Long-Term Liabilities,7,7,7,7,7,0,-,0
Total Long-Term Liabilities,7,7,7,7,7,0,-,0
Total Liabilities,7.23,7.1,7.18,7.16,7.26,0.74,-,0.19
Total Debt,0,0,0,0,0,0.1,-,0
Common Stock,0,0,0,0,0,0.03,-,0.03
Retained Earnings,-6.65,-6.35,-6.17,-5.99,-5.8,-0.03,-,-0.02
Shareholders' Equity,-6.65,-6.35,-6.17,-5.99,-5.8,-0.01,-,0
Total Liabilities and Equity,0.58,0.74,1,1.17,1.45,0.73,-,0.19
Net Cash / Debt,0.41,0.47,0.62,0.66,1.37,-0.1,0,0
Net Cash / Debt Growth,-69.99%,-,-,-,-,-,-,-
Net Cash Per Share,0.02,0.02,0.02,0.03,0.18,-0.02,-,-
Working Capital,0.35,0.65,0.83,0.93,1.2,-,-,-
Book Value Per Share,-0.27,-0.25,-0.25,-0.24,-0.78,-0.00,-,-
