Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.22,0.4,0.45,0.5,0.85,0.91,0.96,1.01,0.27,0
Cash & Cash Equivalents,0.22,0.4,0.45,0.5,0.85,0.91,0.96,1.01,0.27,0
Cash Growth,-74.32%,-56.05%,-52.81%,-50.40%,213.34%,-,-,-,-,-
Other Current Assets,0.07,0.07,0.29,0.52,0.68,0.88,1.07,1.28,1.49,0.01
Total Current Assets,0.29,0.47,0.74,1.02,1.52,1.78,2.03,2.29,1.76,0.01
Long-Term Investments,47.67,408.52,405.04,403.16,402.73,402.61,403.11,402.52,403.64,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0,0.08
Total Long-Term Assets,47.67,408.52,405.04,403.16,402.73,402.61,403.11,402.52,403.64,0.08
Total Assets,47.96,408.99,405.78,404.18,404.25,404.39,405.14,404.81,405.4,0.09
Accounts Payable,0.52,0.46,0.4,0.34,0.29,0.23,0.17,0.14,0.11,0.03
Current Debt,0,0,0,0,0,0,0,0,0.18,0
Other Current Liabilities,0.1,0.03,0.03,0.03,0.21,0.21,0.19,0.19,0.19,0
Total Current Liabilities,0.62,0.49,0.43,0.37,0.5,0.44,0.36,0.33,0.48,0.03
Long-Term Debt,0.32,0.07,0.28,0.65,1.34,1.88,1.87,1.84,0,0
Other Long-Term Liabilities,21.85,16.11,18.72,20.53,33.52,43.81,41.26,43.68,41.94,0.05
Total Long-Term Liabilities,22.17,16.18,19,21.18,34.86,45.69,43.13,45.52,41.94,0.05
Total Liabilities,22.79,16.67,19.43,21.55,35.36,46.13,43.48,45.85,42.42,0.08
Total Debt,0.32,0.07,0.28,0.65,1.34,1.88,1.87,1.84,0.18,0
Debt Growth,-76.04%,-96.16%,-84.96%,-64.62%,642.18%,-,-,-,-,-
Common Stock,0,0,0,0,0,0,0,14.08,10.06,0.03
Retained Earnings,-22.4,-16.11,-18.59,-20.44,-33.62,-44.24,-40.85,-9.08,-5.06,-0.01
Shareholders' Equity,-22.4,-16.1,-18.59,-20.44,-33.62,-44.24,-40.85,5,5,0.01
Total Liabilities and Equity,0.39,0.57,0.84,1.12,1.75,1.89,2.64,50.85,47.42,0.09
Net Cash / Debt,-0.1,0.33,0.17,-0.15,-0.5,-0.97,-0.91,-0.83,0.09,0
Net Cash Per Share,-0.00,0.01,0.00,-0.00,-0.01,-0.02,-0.02,-0.02,0.00,-
Working Capital,-0.33,-0.02,0.32,0.64,1.02,1.34,1.67,1.96,1.28,-0.02
Book Value Per Share,-0.67,-0.29,-0.34,-0.37,-0.61,-0.80,-0.74,0.09,0.13,0.00
