Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,1.43,0.94,1.01,1.2,0.04,0.07
Cash & Cash Equivalents,1.43,0.94,1.01,1.2,0.04,0.07
Cash Growth,3288.64%,1209.00%,-,-,-,-
Other Current Assets,0.06,0.18,0.31,0.4,2.16,-
Total Current Assets,1.49,1.12,1.32,1.6,2.2,-
Long-Term Investments,1.67,147.5,146.84,146.64,0,-
Total Long-Term Assets,1.67,147.5,146.84,146.64,0,-
Total Assets,3.16,148.62,148.16,148.24,2.2,0.15
Accounts Payable,0.01,0.01,0,0.03,0.03,0.03
Current Debt,0,0,0,0,0.1,0.1
Other Current Liabilities,0.66,0.38,0.2,0.2,0.09,0.01
Total Current Liabilities,0.66,0.38,0.2,0.23,0.21,0.13
Other Long-Term Liabilities,0.45,0.9,1.35,2.92,0,0
Total Long-Term Liabilities,0.45,0.9,1.35,2.92,0,0
Total Liabilities,1.12,1.28,1.55,3.14,0.21,0.13
Total Debt,0,0,0,0,0.1,0.1
Common Stock,0,0,0,0,2,0.03
Retained Earnings,0.24,0.14,-0.11,-1.53,-0.01,-0.01
Shareholders' Equity,0.24,0.14,-0.11,-1.53,1.99,0.02
Total Liabilities and Equity,1.35,1.42,1.44,1.61,2.2,0.15
Net Cash / Debt,1.43,0.94,1.01,1.2,-0.05,-0.03
Net Cash Per Share,0.08,0.05,0.14,0.11,-,-0.01
Working Capital,0.83,0.74,1.12,1.37,1.99,-
Book Value Per Share,0.01,0.01,-0.01,-0.14,0.64,0.01
