Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-08
Cash & Equivalents,0.13,0.31,0.6,0.67,0.88,1.92,0.18,-,0
Cash & Cash Equivalents,0.13,0.31,0.6,0.67,0.88,1.92,0.18,0,0
Cash Growth,-84.70%,-84.14%,226.34%,-,-,-,-,-,-
Other Current Assets,0.29,0.37,0.41,0.43,0.39,0.4,-,-,-
Total Current Assets,0.42,0.67,1.01,1.11,1.26,2.32,-,-,-
Long-Term Investments,231.02,228.96,227.09,226.09,225.86,203,-,-,-
Other Long-Term Assets,0,0,0.07,0.17,0.26,0.36,-,-,-
Total Long-Term Assets,231.02,228.96,227.16,226.26,226.12,203.36,-,-,-
Total Assets,231.45,229.64,228.17,227.37,227.38,205.67,0.72,-,0.1
Accounts Payable,0.56,0.42,0.56,0.51,0.51,1.09,0,-,0
Current Debt,0,0,0,0,0,0,0.3,-,0
Other Current Liabilities,1.02,0.85,0.66,0.43,0.4,0.74,0.42,-,0.08
Total Current Liabilities,1.58,1.27,1.22,0.94,0.9,1.83,0.72,-,0.08
Other Long-Term Liabilities,8.19,8.16,10.36,11.01,12.08,16.58,0,-,0
Total Long-Term Liabilities,8.19,8.16,10.36,11.01,12.08,16.58,0,-,0
Total Liabilities,9.77,9.43,11.58,11.95,12.99,18.41,0.72,-,0.08
Total Debt,0,0,0,0,0,0,0.3,-,0
Common Stock,0,0,0,0,0,0,0.03,-,0.03
Retained Earnings,-7.86,-7.91,-10.19,-10.64,-11.44,-15.74,-0.02,-,-0.01
Shareholders' Equity,-7.86,-7.91,-10.19,-10.64,-11.44,-15.74,0.01,-,0.01
Total Liabilities and Equity,1.91,1.51,1.39,1.31,1.55,2.67,0.72,-,0.1
Net Cash / Debt,0.13,0.31,0.6,0.67,0.88,1.92,-0.12,0,0
Net Cash / Debt Growth,-84.70%,-84.14%,-,-,-,-,-,-,-
Net Cash Per Share,0.00,0.01,0.02,0.02,0.03,0.31,-0.02,-,-
Working Capital,-1.16,-0.6,-0.21,0.16,0.36,0.49,-,-,-
Book Value Per Share,-0.28,-0.28,-0.37,-0.38,-0.41,-2.54,0.00,-,0.00
