Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.02,0.09,0.14,0.23,0.09,0.19,0.46,1.14,0
Cash & Cash Equivalents,0.02,0.09,0.14,0.23,0.09,0.19,0.46,1.14,0
Cash Growth,-76.13%,-55.04%,-69.53%,-79.54%,-,-,-,-,-
Other Current Assets,0.05,0.21,0.38,0.54,0.57,0.76,0.91,1.06,0.01
Total Current Assets,0.07,0.3,0.52,0.78,0.66,0.95,1.37,2.2,0.01
Long-Term Investments,487.27,485.87,483.69,483.06,483.01,483.04,483.03,483.02,0
Other Long-Term Assets,0,0,0,0,0.05,0,0,0,0.03
Total Long-Term Assets,487.27,485.87,483.69,483.06,483.06,483.04,483.03,483.02,0.03
Total Assets,487.34,486.17,484.2,483.84,483.72,483.99,484.4,485.22,0.04
Accounts Payable,0.15,0.14,0.14,0.13,0.07,0.02,0.01,0.02,0
Other Current Liabilities,1.02,0.5,0.42,0.42,0.09,0.09,0.24,0.09,0.03
Total Current Liabilities,1.17,0.64,0.56,0.55,0.16,0.11,0.25,0.11,0.03
Long-Term Debt,0.5,0.5,0.5,0.37,0,0,0,0,0
Other Long-Term Liabilities,17.69,19.28,18.59,25.05,31.46,33.42,39.5,42.18,0
Total Long-Term Liabilities,18.19,19.78,19.08,25.41,31.46,33.42,39.5,42.18,0
Total Liabilities,19.36,20.42,19.64,25.96,31.62,33.53,39.75,42.29,0.03
Total Debt,0.5,0.5,0.5,0.37,0,0,0,0,0
Common Stock,0,0,0,0,0,0,5.49,7.21,0.03
Retained Earnings,-19.19,-20.02,-19.03,-25.12,-30.9,-32.55,-0.49,-2.21,-0.01
Shareholders' Equity,-19.19,-20.02,-19.02,-25.12,-30.9,-32.55,5,5,0.01
Total Liabilities and Equity,0.17,0.4,0.62,0.84,0.72,0.99,44.75,47.29,0.04
Net Cash / Debt,-0.48,-0.41,-0.36,-0.14,0.09,0.19,0.46,1.14,0
Net Cash Per Share,-0.01,-0.01,-0.01,-0.00,0.00,0.00,0.01,0.03,-
Working Capital,-1.1,-0.34,-0.04,0.23,0.5,0.84,1.12,2.09,-0.01
Book Value Per Share,-0.32,-0.33,-0.32,-0.42,-0.50,-0.54,0.08,0.13,0.00
