Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.1,0.11,0.16,0.24,0.05,1.68,0.11
Cash & Cash Equivalents,0.1,0.11,0.16,0.24,0.05,1.68,0.11
Cash Growth,88.90%,-93.46%,47.32%,-,-,-,-
Other Current Assets,0.34,0.48,0.61,0.63,0.59,0.6,-
Total Current Assets,0.44,0.59,0.76,0.86,0.64,2.27,-
Long-Term Investments,313.81,310.49,307.85,306.46,306.03,306,-
Other Long-Term Assets,0,0,0.06,0.2,0.35,0.49,-
Total Long-Term Assets,313.81,310.49,307.9,306.67,306.38,306.49,-
Total Assets,314.25,311.08,308.67,307.53,307.02,308.77,0.55
Accounts Payable,0.47,0.41,0.33,0.28,0.21,1.17,0
Current Debt,0.43,0.34,0.23,0.23,0,0,0.24
Other Current Liabilities,0.39,0.39,0.39,0.39,0.39,0.8,0.33
Total Current Liabilities,1.3,1.14,0.96,0.9,0.61,1.98,0.57
Other Long-Term Liabilities,17.11,15.45,19.01,17.31,22.82,28.57,0
Total Long-Term Liabilities,17.11,15.45,19.01,17.31,22.82,28.57,0
Total Liabilities,18.41,16.58,19.97,18.21,23.42,30.55,0.57
Total Debt,0.43,0.34,0.23,0.23,0,0,0.24
Debt Growth,-,-,-1.49%,-,-,-,-
Common Stock,0,0,0,0,0,0,0.15
Retained Earnings,-17.97,-15.99,-19.15,-17.15,-22.43,-27.78,-0.16
Shareholders' Equity,-17.97,-15.99,-19.15,-17.15,-22.43,-27.78,-0.01
Total Liabilities and Equity,0.44,0.59,0.82,1.06,0.99,2.76,0.55
Net Cash / Debt,-0.34,-0.23,-0.08,0.01,0.05,1.68,-0.13
Net Cash Per Share,-0.01,-0.01,-0.00,0.00,0.00,0.13,-0.02
Working Capital,-0.87,-0.54,-0.2,-0.04,0.04,0.3,-
Book Value Per Share,-0.48,-0.43,-0.51,-0.46,-0.60,-2.12,-0.00
